,AAPL (NASD),,,,
Date,Open,High,Low,Close,Volume
12/23/2025,270.84,272.5,269.56,272.36,"29,641,999"
12/22/2025,272.86,273.88,270.51,270.97,"36,571,827"
12/19/2025,272.15,274.6,269.9,273.67,"144,632,048"
12/18/2025,273.61,273.63,266.95,272.19,"51,630,721"
12/17/2025,275.01,276.16,271.64,271.84,"50,138,743"
12/16/2025,272.82,275.5,271.79,274.61,"37,648,628"
12/15/2025,280.15,280.15,272.84,274.11,"50,409,078"
12/12/2025,277.9,279.22,276.82,278.28,"39,532,887"
12/11/2025,279.1,279.59,273.81,278.03,"33,247,986"
12/10/2025,277.75,279.75,276.44,278.78,"33,038,318"
12/9/2025,278.16,280.03,276.92,277.18,"32,193,256"
12/8/2025,278.13,279.67,276.15,277.89,"38,211,832"
12/5/2025,280.54,281.14,278.05,278.78,"47,265,845"
12/4/2025,284.1,284.73,278.59,280.7,"43,989,056"
12/3/2025,286.2,288.62,283.3,284.15,"43,538,687"
12/2/2025,283,287.4,282.63,286.19,"53,669,532"
12/1/2025,278.01,283.42,276.14,283.1,"46,587,722"
11/28/2025,277.26,279,275.99,278.85,"20,135,620"
11/26/2025,276.96,279.53,276.63,277.55,"33,431,423"
11/25/2025,275.27,280.38,275.25,276.97,"46,914,220"
11/24/2025,270.9,277,270.9,275.92,"65,585,796"
11/21/2025,265.95,273.33,265.67,271.49,"59,030,832"
11/20/2025,270.83,275.43,265.92,266.25,"45,823,568"
11/19/2025,265.53,272.21,265.5,268.56,"40,424,492"
11/18/2025,269.99,270.71,265.32,267.44,"45,677,278"
11/17/2025,268.82,270.49,265.73,267.46,"45,018,260"
11/14/2025,271.05,275.96,269.6,272.41,"47,431,331"
11/13/2025,274.11,276.7,272.09,272.95,"49,602,794"
11/12/2025,275,275.73,271.7,273.47,"48,397,982"
11/11/2025,269.81,275.91,269.8,275.25,"46,208,318"
11/10/2025,268.96,273.73,267.46,269.43,"41,312,412"
11/7/2025,269.8,272.29,266.77,268.47,"48,227,365"
11/6/2025,267.89,273.4,267.89,269.77,"51,204,045"
11/5/2025,268.61,271.7,266.93,270.14,"43,683,072"
11/4/2025,268.33,271.49,267.62,270.04,"49,274,846"
11/3/2025,270.42,270.85,266.25,269.05,"50,194,583"
10/31/2025,276.99,277.32,269.16,270.37,"86,167,123"
10/30/2025,271.99,274.14,268.48,271.4,"69,886,534"
