,AMD (NASD),,,,
Date,Open,High,Low,Close,Volume
12/24/2025,214.98,216.54,213.97,215.04,"7,956,797"
12/23/2025,212.86,217.03,212.28,214.9,"20,272,288"
12/22/2025,220,220.17,213.31,214.95,"24,950,728"
12/19/2025,204.6,215.18,204.2,213.43,"58,445,450"
12/18/2025,203.82,206.36,200.5,201.06,"29,720,136"
12/17/2025,210.04,211.5,197.53,198.11,"31,595,409"
12/16/2025,206.92,210.22,205.11,209.17,"23,467,569"
12/15/2025,212.28,215.36,206.58,207.58,"27,222,196"
12/12/2025,218.37,222.49,209.06,210.78,"37,073,910"
12/11/2025,217.81,221.5,210.19,221.43,"30,694,649"
12/10/2025,222,222.61,218.67,221.42,"23,279,366"
12/9/2025,221.04,224.84,217.91,221.62,"25,166,128"
12/8/2025,219.09,223.71,218.36,221.11,"30,943,182"
12/5/2025,217.17,223.64,216.24,217.97,"33,292,396"
12/4/2025,216.88,219.12,214.14,215.98,"24,478,204"
12/3/2025,216.26,218.2,211.77,217.6,"28,545,180"
12/2/2025,221.79,225.98,214.39,215.24,"42,002,462"
12/1/2025,213.88,220.98,213.5,219.76,"30,768,722"
11/28/2025,216.14,218.3,214.02,217.53,"18,657,987"
11/26/2025,210.05,215.59,207,214.24,"43,270,240"
11/25/2025,201.48,206.58,194.28,206.13,"69,773,496"
11/24/2025,207.16,217.13,205.85,215.05,"46,749,561"
11/21/2025,208.81,208.83,195,203.78,"67,421,145"
11/20/2025,232.7,234.25,204.53,206.02,"66,342,870"
11/19/2025,230.26,235.28,219.71,223.55,"52,093,445"
11/18/2025,236.78,238,224.71,230.29,"45,619,850"
11/17/2025,242.75,248.77,237.15,240.52,"37,942,206"
11/14/2025,240.11,253.44,235.08,246.81,"47,655,644"
11/13/2025,251.9,259.63,246.06,247.96,"63,178,592"
11/12/2025,253.13,263.51,250,258.89,"108,941,979"
11/11/2025,241.66,248.46,234.64,237.52,"61,336,768"
11/10/2025,242.14,248.9,240.5,243.98,"43,361,641"
11/7/2025,230.94,235.87,224.64,233.54,"52,162,576"
11/6/2025,253.47,253.51,235.74,237.7,"66,049,698"
11/5/2025,243.24,259.65,242.81,256.33,"67,366,572"
11/4/2025,250.35,257.38,247.39,250.05,"56,491,830"
11/3/2025,259.33,260.91,253.89,259.65,"36,351,420"
10/31/2025,259.6,262.13,253.41,256.12,"34,449,205"
10/30/2025,259.92,263.88,252.31,254.84,"45,162,492"
10/29/2025,264.19,267.08,257.4,264.33,"49,335,594"
10/28/2025,259.14,264.58,257,258.01,"47,448,669"
10/27/2025,257.88,260.42,249.8,259.67,"65,613,111"
10/24/2025,243.36,253.39,241.95,252.92,"71,221,144"
10/23/2025,230.16,235.9,228.54,234.99,"39,024,429"
10/22/2025,236.85,240.13,224.88,230.23,"59,668,778"
10/21/2025,239.39,242.26,234.02,238.03,"47,122,393"
10/20/2025,236.47,242.88,234.4,240.56,"56,741,695"
10/17/2025,233.26,235.38,227.91,233.08,"55,804,203"
10/16/2025,236.29,241.2,232.24,234.56,"69,726,437"
10/15/2025,222.71,239.24,220.76,238.6,"108,480,962"
10/14/2025,219.2,224.98,215.9,218.09,"71,216,269"
10/13/2025,220.2,224.19,214.9,216.42,"63,104,021"
10/10/2025,232.77,234.22,213.2,214.9,"118,656,636"
10/9/2025,236.3,240.1,229.53,232.89,"94,290,740"
10/8/2025,212.95,235.87,210.7,235.56,"159,983,459"
10/7/2025,214.85,218.9,209.28,211.51,"115,748,143"
10/6/2025,226.45,226.71,203.01,203.71,"248,859,576"
10/3/2025,170.68,170.68,163.14,164.67,"42,699,147"
10/2/2025,168.68,171.06,166.12,169.73,"55,475,228"
10/1/2025,160.93,164.18,160.49,164.01,"39,895,177"
9/30/2025,160.8,162.28,159.33,161.79,"29,669,331"
9/29/2025,160.12,164.3,159.9,161.36,"39,828,794"
9/26/2025,160.52,162.11,157.05,159.46,"30,316,931"
9/25/2025,157.14,161.63,154.78,161.27,"36,809,877"
9/24/2025,162.98,165.1,158.43,160.88,"38,464,120"
9/23/2025,160.52,163.39,159.21,160.9,"39,448,320"
9/22/2025,157.42,162.68,157.42,159.79,"46,505,480"
9/19/2025,157.38,159.84,155.9,157.39,"55,448,076"
9/18/2025,150.96,158.77,149.85,157.92,"84,549,468"
9/17/2025,159.28,161.63,155.76,159.16,"41,823,842"
9/16/2025,161.37,161.95,159.22,160.46,"27,946,478"
9/15/2025,160.01,162.3,157.6,161.16,"36,808,726"
9/12/2025,157,160.41,154.92,158.57,"42,232,777"
9/11/2025,158.62,160.21,154.99,155.67,"48,817,715"
9/10/2025,163.54,164.53,158,159.54,"52,465,270"
9/9/2025,151.99,156.66,151.93,155.82,"42,802,472"
9/8/2025,151.8,152.64,149.22,151.41,"41,848,995"
9/5/2025,157.12,157.14,150.18,151.14,"78,255,950"
9/4/2025,159.94,162.05,157.79,161.79,"32,103,496"
9/3/2025,161.81,164.75,160.58,162.13,"30,752,786"
9/2/2025,158.42,162.39,156.62,162.32,"38,656,131"
8/29/2025,166.81,168.57,161.9,162.63,"37,516,824"
8/28/2025,168.5,170.99,166.65,168.58,"36,285,192"
8/27/2025,166.04,167.68,164.65,167.13,"37,031,044"
8/26/2025,168.65,169.77,164.91,166.62,"52,138,562"
8/25/2025,165.55,165.59,161.72,163.36,"36,134,684"
8/22/2025,162.17,168.53,161.8,167.76,"43,998,605"
8/21/2025,165.86,165.88,162.26,163.71,"37,880,461"
8/20/2025,164.1,166.65,158.25,165.2,"60,233,226"
8/19/2025,173.1,173.17,166.1,166.55,"64,455,006"
8/18/2025,176.76,178.8,174.36,176.14,"35,937,528"
8/15/2025,180.06,180.14,176.25,177.51,"51,543,136"
8/14/2025,179.83,185.44,179.56,180.95,"66,308,821"
8/13/2025,179.91,186.65,179.38,184.42,"108,305,129"
8/12/2025,173.32,175.16,168.5,174.95,"52,335,746"
8/11/2025,170.04,178.82,169.38,172.28,"70,651,033"
8/8/2025,174.04,176.48,170.52,172.76,"68,866,692"
8/7/2025,166.84,175.75,166.7,172.4,"95,448,310"
8/6/2025,165.05,166.18,157.8,163.12,"133,641,835"
8/5/2025,177.57,177.99,171.8,174.31,"88,808,520"
8/4/2025,174.61,177.86,173.56,176.78,"52,951,044"
8/1/2025,170.16,174.4,166.82,171.7,"75,396,130"
7/31/2025,182.02,182.5,173,176.31,"71,765,285"
7/30/2025,175.61,180.37,173.8,179.51,"64,820,291"
7/29/2025,175.21,182.31,174.68,177.44,"108,154,838"
7/28/2025,169.08,174.7,168.67,173.66,"68,267,835"
7/25/2025,163.51,167.18,162.36,166.47,"53,432,260"
