,AMZN (NASD),,,,
Date,Open,High,Low,Close,Volume
12/23/2025,229.06,232.45,228.73,232.14,"29,230,233"
12/22/2025,228.61,229.48,226.71,228.43,"32,261,329"
12/19/2025,226.76,229.13,225.58,227.35,"85,544,374"
12/18/2025,225.71,229.23,224.41,226.76,"50,272,419"
12/17/2025,224.66,225.19,220.99,221.27,"44,034,418"
12/16/2025,223.04,223.66,221.13,222.56,"39,298,857"
12/15/2025,227.93,227.93,221.5,222.54,"47,286,085"
12/12/2025,229.87,230.08,225.12,226.19,"35,639,118"
12/11/2025,230.71,232.11,228.69,230.28,"28,249,599"
12/10/2025,228.81,232.42,228.46,231.78,"38,790,736"
12/9/2025,226.84,228.57,225.11,227.92,"25,841,743"
12/8/2025,229.59,230.83,226.27,226.89,"35,019,174"
12/5/2025,230.32,231.24,228.55,229.53,"33,117,377"
12/4/2025,232.77,233.5,226.8,229.11,"45,683,224"
12/3/2025,233.35,233.38,230.61,232.38,"35,495,058"
12/2/2025,235.01,238.97,233.55,234.42,"45,785,363"
12/1/2025,233.22,235.8,232.25,233.88,"42,903,954"
11/28/2025,231.24,233.29,230.22,233.22,"20,292,329"
11/26/2025,230.74,231.75,228.77,229.16,"38,497,922"
11/25/2025,226.38,230.52,223.8,229.67,"39,379,339"
11/24/2025,222.56,227.33,222.27,226.28,"54,318,395"
11/21/2025,216.35,222.21,215.18,220.69,"68,490,464"
11/20/2025,227.05,227.41,216.74,217.14,"50,308,962"
11/19/2025,223.74,223.74,218.52,222.69,"58,335,643"
11/18/2025,228.1,230.2,222.42,222.55,"60,608,442"
11/17/2025,233.25,234.6,229.19,232.87,"59,919,018"
11/14/2025,235.06,238.73,232.89,234.69,"38,956,669"
11/13/2025,243.05,243.75,236.5,237.58,"41,401,738"
11/12/2025,250.24,250.37,243.75,244.2,"31,190,063"
11/11/2025,248.41,249.75,247.23,249.1,"23,564,060"
11/10/2025,248.34,251.75,245.59,248.4,"36,476,514"
11/7/2025,242.9,244.9,238.49,244.41,"46,374,294"
11/6/2025,249.16,250.38,242.17,243.04,"46,004,203"
11/5/2025,249.03,251,246.16,250.2,"40,610,702"
11/4/2025,250.38,257.01,248.66,249.32,"51,546,311"
11/3/2025,255.36,258.6,252.9,254,"95,997,816"
10/31/2025,250.1,250.5,243.98,244.22,"166,340,808"
10/30/2025,227.06,228.44,222.75,222.86,"102,252,937"
10/29/2025,231.67,232.82,227.76,230.3,"52,036,151"
10/28/2025,228.22,231.49,226.21,229.25,"47,100,026"
10/27/2025,227.66,228.4,225.54,226.97,"38,266,995"
10/24/2025,221.97,225.4,221.9,224.21,"38,685,053"
10/23/2025,219,221.3,218.18,221.09,"31,539,999"
10/22/2025,219.3,220.01,216.52,217.95,"44,308,538"
10/21/2025,218.43,223.32,217.99,222.03,"50,494,565"
10/20/2025,213.88,216.69,213.59,216.48,"38,882,819"
10/17/2025,214.56,214.8,211.03,213.04,"45,986,944"
10/16/2025,215.67,218.59,212.81,214.47,"42,414,591"
10/15/2025,216.62,217.71,212.66,215.57,"45,909,469"
10/14/2025,215.56,219.32,212.6,216.39,"45,665,580"
10/13/2025,217.7,220.68,217.04,220.07,"37,809,650"
10/10/2025,226.21,228.25,216,216.37,"72,367,511"
10/9/2025,225,228.21,221.75,227.74,"46,412,122"
10/8/2025,222.92,226.73,221.19,225.22,"46,685,985"
10/7/2025,220.88,222.89,220.17,221.78,"31,194,678"
10/6/2025,221,221.73,216.03,220.9,"43,690,876"
10/3/2025,223.44,224.2,219.34,219.51,"43,639,033"
10/2/2025,221.01,222.81,218.95,222.41,"41,258,586"
10/1/2025,217.36,222.15,216.61,220.63,"43,933,834"
9/30/2025,222.03,222.24,217.89,219.57,"48,396,369"
9/29/2025,220.08,222.6,219.3,222.17,"44,259,177"
9/26/2025,219.08,221.05,218.02,219.78,"41,650,098"
9/25/2025,220.06,220.67,216.47,218.15,"52,226,328"
9/24/2025,224.15,224.56,219.45,220.21,"49,509,033"
9/23/2025,227.83,227.86,220.07,220.71,"70,956,193"
9/22/2025,230.56,230.57,227.51,227.63,"45,914,506"
9/19/2025,232.37,234.16,229.7,231.48,"97,943,172"
9/18/2025,232.5,233.48,228.79,231.23,"37,931,738"
9/17/2025,233.77,234.3,228.71,231.62,"42,815,230"
9/16/2025,232.94,235.9,232.23,234.05,"38,203,912"
9/15/2025,230.63,233.73,230.32,231.43,"33,243,328"
9/12/2025,230.35,230.79,226.29,228.15,"38,496,218"
9/11/2025,231.49,231.53,229.34,229.95,"37,485,598"
9/10/2025,237.52,237.68,229.1,230.33,"60,907,714"
9/9/2025,236.36,238.85,235.08,238.24,"27,033,778"
9/8/2025,234.94,237.6,233.75,235.84,"33,947,104"
9/5/2025,235.19,236,231.93,232.33,"36,721,802"
9/4/2025,231.19,235.77,230.78,235.68,"59,391,779"
9/3/2025,225.21,227.17,224.36,225.99,"29,223,134"
9/2/2025,223.52,226.17,221.83,225.34,"38,843,883"
