,ASTS (NASD),,,,
Date,Open,High,Low,Close,Volume
12/23/2025,82.23,87.75,81.98,85.67,"18,077,385"
12/22/2025,79.66,87.03,77.92,86.48,"18,741,390"
12/19/2025,67.73,76.44,67.32,75.84,"20,293,432"
12/18/2025,65.2,67.68,64.01,65.93,"12,951,447"
12/17/2025,70.02,70.39,61.4,61.86,"12,569,058"
12/16/2025,65.61,68.88,65.25,68.37,"10,994,161"
12/15/2025,77.24,77.69,67.53,67.81,"16,392,582"
12/12/2025,83.02,84.61,74.51,76.7,"19,675,443"
12/11/2025,78.33,85.45,76.74,84.75,"14,746,401"
12/10/2025,72.75,80.29,70.9,79.05,"14,564,267"
12/9/2025,73.28,74.75,69.82,72.84,"11,159,002"
12/8/2025,74.99,76.79,70.75,74,"11,465,009"
12/5/2025,71.4,75.14,70.6,73.92,"13,620,153"
12/4/2025,62.22,73.85,61.55,72.65,"24,714,900"
12/3/2025,57.58,61.88,56.15,61.44,"12,026,552"
12/2/2025,53.22,57.86,53.08,56.89,"8,894,222"
12/1/2025,54.35,54.39,52.2,52.61,"6,791,027"
11/28/2025,56.67,57.81,55.8,56.2,"4,225,695"
11/26/2025,56.41,57.48,55.51,55.52,"5,989,775"
11/25/2025,55.24,56,52.32,55.51,"10,159,481"
11/24/2025,53,55.49,51.5,55,"10,180,065"
11/21/2025,53.01,53.71,49.31,51.37,"13,380,405"
11/20/2025,61.38,61.6,50.3,50.7,"13,503,898"
11/19/2025,58.91,61.75,57.48,58.01,"11,245,946"
11/18/2025,55.91,59.4,54.67,58.22,"9,242,644"
11/17/2025,60.56,61.98,56.16,56.6,"9,462,473"
11/14/2025,58.66,64.84,57.92,61.4,"10,028,307"
11/13/2025,64.05,65.3,59.87,61.44,"9,721,656"
11/12/2025,68.2,70.68,64.4,64.49,"9,075,090"
11/11/2025,67.87,71.5,66.86,67.89,"12,464,898"
11/10/2025,71.31,72.36,67,68.7,"9,248,785"
11/7/2025,64.21,69.99,61.89,69.19,"9,078,566"
11/6/2025,68.82,70.2,65.04,65.28,"7,899,934"
11/5/2025,69.77,71.81,68.07,70.38,"5,786,205"
11/4/2025,67.81,71.95,67.1,70.05,"8,470,706"
11/3/2025,80.36,80.36,71,71.15,"11,835,914"
10/31/2025,77.85,80.93,77.63,80.25,"7,889,660"
10/30/2025,78.23,80.48,74.5,76.68,"9,093,239"
10/29/2025,83.31,84,77.01,80.06,"14,772,472"
10/28/2025,80.59,81.29,76.45,77.77,"9,350,941"
10/27/2025,76,79.85,74.5,79.45,"11,419,352"
10/24/2025,74,74.26,72.32,73.7,"9,278,012"
10/23/2025,71.88,74.26,70.81,71.72,"13,561,248"
10/22/2025,72.05,72.7,66.67,71.35,"27,581,535"
10/21/2025,81.5,82.47,76.33,78.61,"9,343,784"
10/20/2025,86.43,89.64,81.7,82.81,"9,307,547"
10/17/2025,83.37,87.5,80.85,83.49,"14,344,685"
10/16/2025,95,102.79,88.93,89.5,"17,129,859"
10/15/2025,98.79,99.82,93.14,95.69,"14,439,817"
10/14/2025,88.7,99.13,85.3,94.5,"17,398,227"
10/13/2025,86.65,92.07,83,90.5,"13,193,728"
10/10/2025,89.8,90.65,81.93,82.03,"19,061,563"
10/9/2025,80.71,88.68,80.61,86.79,"19,481,143"
10/8/2025,84.81,91.41,79.82,81.2,"43,321,712"
10/7/2025,67.41,76,67.28,74.75,"18,223,694"
10/6/2025,69.17,74.77,68.7,72.9,"16,422,990"
10/3/2025,65.66,68.8,64.1,67.76,"16,702,103"
10/2/2025,58.53,66.83,57.41,66.16,"30,170,759"
10/1/2025,53.51,57.2,50.82,56.94,"20,062,033"
9/30/2025,48.57,49.72,47.5,49.08,"7,575,630"
9/29/2025,49.96,52.38,47.82,48.84,"9,966,819"
9/26/2025,50.21,51.48,48.11,49.09,"8,196,313"
9/25/2025,51.65,51.98,48.02,49.39,"11,994,285"
9/24/2025,54.98,56.73,53.11,54.5,"11,419,146"
9/23/2025,48.9,56.39,48.61,54.8,"25,744,695"
9/22/2025,46.77,48.93,45.22,48.85,"13,639,028"
9/19/2025,41.98,46.08,41.87,45.1,"20,744,963"
9/18/2025,41.93,42.17,40.15,41.44,"9,240,215"
9/17/2025,40.28,41.97,39.5,41.19,"8,383,501"
9/16/2025,41,41.61,39.88,40.43,"8,576,128"
9/15/2025,40.27,41.51,39.85,40.97,"10,141,313"
9/12/2025,38.59,39.21,37.73,38.72,"7,606,551"
9/11/2025,37.71,39.05,37.18,38.37,"7,983,457"
9/10/2025,38.1,38.1,36.94,37.58,"9,110,316"
9/9/2025,39.59,39.67,36.08,36.91,"22,533,593"
9/8/2025,36.91,40.94,36.5,40.77,"20,363,966"
9/5/2025,42.57,43.12,41.65,42.41,"7,066,799"
9/4/2025,45.4,45.72,41.05,41.86,"14,376,242"
9/3/2025,49.07,49.4,45.19,45.22,"6,279,304"
9/2/2025,48.17,50.44,47.1,48.76,"6,716,201"
8/29/2025,48.58,49.06,46.76,48.94,"5,184,326"
8/28/2025,48.57,49.39,47.14,48.95,"4,547,088"
8/27/2025,50.5,50.66,48.19,48.25,"6,266,763"
8/26/2025,51.13,53.2,50.13,50.43,"8,474,699"
8/25/2025,47.84,51.32,47.18,50.01,"10,504,475"
8/22/2025,44.93,47.47,44.19,47.07,"6,555,596"
8/21/2025,44.33,45.17,43.61,44.98,"3,531,125"
8/20/2025,44.25,45.25,42,45.08,"7,116,713"
8/19/2025,47.74,48.4,44.88,44.95,"8,959,952"
8/18/2025,48.24,50.5,47.4,48.16,"9,732,799"
8/15/2025,48.92,48.98,47.53,48.08,"4,503,064"
8/14/2025,50.32,51.95,47.5,48.5,"11,624,405"
8/13/2025,50.5,50.65,47.12,50.05,"9,534,595"
8/12/2025,51.24,55.5,49.5,49.76,"21,569,053"
8/11/2025,46.25,47.81,45.46,45.92,"9,531,517"
8/8/2025,48,48.88,46.3,46.63,"7,173,173"
8/7/2025,52.03,52.12,47.17,47.71,"11,892,555"
8/6/2025,54.14,54.96,51.4,51.79,"6,366,458"
8/5/2025,51.71,52.8,49.93,52.57,"6,287,597"
8/4/2025,51.23,52.75,49.91,51.38,"9,022,111"
8/1/2025,50.9,54.58,49.72,52.46,"9,130,733"
7/31/2025,54.49,55.47,52.93,53.17,"6,626,180"
7/30/2025,53.6,55.78,53.23,54.29,"7,964,489"
7/29/2025,53.92,54.04,51.3,53.09,"8,490,940"
7/28/2025,55.04,55.57,53.5,54.22,"8,080,346"
7/25/2025,56.25,56.8,53.03,54.34,"25,294,540"
7/24/2025,58.92,60.54,57.78,60.06,"9,373,505"
7/23/2025,58.14,60.28,56.21,58.92,"9,828,313"
7/22/2025,55.68,57.56,51.21,57.09,"13,718,480"
7/21/2025,59.74,60.95,56.36,56.67,"12,415,672"
7/18/2025,56.07,58.08,55.21,57.98,"7,966,434"
7/17/2025,52.71,58.03,52.6,57.45,"15,791,618"
7/16/2025,51.68,52.69,49.53,52.63,"10,434,625"
7/15/2025,48.29,51.44,47.2,51.12,"13,926,981"
7/14/2025,45.34,48.69,44.35,47.86,"12,149,417"
7/11/2025,43.48,47.72,43.31,45.58,"13,402,112"
7/10/2025,43.28,45.35,42.76,43.97,"8,656,280"
7/9/2025,45.54,45.63,42.44,42.5,"10,495,020"
7/8/2025,46.06,47.34,44.73,45.46,"8,476,321"
7/7/2025,46.15,46.93,44.03,45.69,"8,221,661"
7/3/2025,47.4,48.32,45.28,45.6,"6,101,742"
7/2/2025,45.17,46.07,43.86,45.71,"8,698,035"
7/1/2025,46.5,46.67,44.36,45.11,"8,324,749"
6/30/2025,50.2,50.38,46.2,46.73,"13,635,284"
6/27/2025,51.81,53.35,49.25,49.36,"31,720,808"
6/26/2025,50.87,53.38,49.68,50.62,"14,220,041"
6/25/2025,50.5,52.85,48.76,49.97,"23,977,640"
6/24/2025,50.43,54.05,49.22,53.22,"20,033,596"
6/23/2025,43.75,50.41,43.02,50.2,"21,470,894"
6/20/2025,45.65,48.94,45.15,45.94,"23,527,864"
6/18/2025,41.31,44.71,40.89,44.35,"21,257,490"
6/17/2025,40.71,41.6,38.82,40.1,"12,867,282"
6/16/2025,39.26,42.93,38.76,41.91,"17,820,811"
6/13/2025,36.24,41.13,36.2,38.37,"22,908,902"
6/12/2025,35.96,37.74,35.82,36.92,"9,926,925"
6/11/2025,35.72,36.98,35.33,36.47,"12,905,860"
6/10/2025,35.18,36.3,34.21,35.71,"21,288,660"
6/9/2025,32.28,36.66,32.25,34.82,"34,436,358"
6/6/2025,31.01,31.27,29.78,31.19,"14,295,517"
6/5/2025,28.05,31.24,27.72,30.85,"29,927,253"
6/4/2025,25.8,29.09,25.4,28.69,"32,676,875"
6/3/2025,24.33,25.57,23.8,25.18,"10,494,301"
6/2/2025,22.98,24.17,22.72,24.15,"7,858,891"
5/30/2025,23.39,23.4,22.47,23.07,"9,399,248"
5/29/2025,25.11,25.44,23.52,23.57,"9,758,337"
5/28/2025,25.01,25.18,24.34,24.78,"7,740,738"
5/27/2025,24.73,25.67,24.5,24.84,"11,517,123"
5/23/2025,24.15,24.53,23.65,24.1,"6,939,240"
5/22/2025,24.07,24.84,23.7,24.41,"8,339,812"
5/21/2025,24.8,25.24,23.56,23.83,"10,886,512"
5/20/2025,24.64,26.05,24.17,25.03,"13,747,043"
5/19/2025,25.68,25.86,24.07,24.61,"17,496,683"
5/16/2025,27,27.97,25.74,26.66,"15,837,262"
5/15/2025,26.14,27.32,25.56,26.24,"11,660,696"
5/14/2025,26.99,28.45,26.03,26.25,"14,028,844"
5/13/2025,25.9,29.05,25.71,26.55,"19,634,771"
5/12/2025,27.17,27.45,26.13,27.16,"14,764,346"
5/9/2025,25.51,25.91,24.96,25.76,"7,707,288"
5/8/2025,25.9,25.94,24.9,25.25,"6,894,118"
5/7/2025,25.39,25.98,24.96,25.32,"6,155,904"
5/6/2025,24.21,25.34,23.77,25.08,"6,889,477"
5/5/2025,25.92,26.36,24.6,24.75,"10,944,493"
5/2/2025,24.35,27.57,24.33,26.42,"19,988,987"
5/1/2025,23.81,23.85,22.83,23.02,"4,439,614"
4/30/2025,22.85,23.23,22.07,23.21,"5,430,522"
4/29/2025,24.21,24.44,23.79,23.9,"3,713,472"
4/28/2025,24.1,25.2,23.17,24.25,"6,509,702"
4/25/2025,23.84,23.97,22.57,23.76,"7,878,736"
4/24/2025,23,24.78,22.89,24.07,"9,907,981"
4/23/2025,22.7,23.93,22.3,22.42,"7,991,702"
4/22/2025,21.18,21.97,20.68,21.3,"5,281,287"
4/21/2025,22.71,22.98,20.26,20.77,"8,348,274"
4/17/2025,22.73,23.99,22.28,23.39,"6,153,373"
4/16/2025,22.68,22.98,21.75,22.39,"4,526,122"
4/15/2025,22.9,23.41,22.15,22.92,"7,190,891"
4/14/2025,24.19,24.6,22.51,22.91,"4,688,179"
4/11/2025,23.05,23.47,22.04,23.28,"6,172,747"
4/10/2025,24.01,24.49,22.44,23.14,"10,024,763"
4/9/2025,20.24,24.89,19.67,24.14,"18,023,932"
4/8/2025,22.77,22.8,19.75,20.3,"10,048,743"
4/7/2025,18.5,22.86,18.22,21.33,"13,431,026"
4/4/2025,20.6,21.15,18.5,20.07,"13,320,592"
4/3/2025,20.08,22.32,20.01,21.58,"10,501,913"
4/2/2025,21.37,23.22,21.31,22.41,"9,222,880"
4/1/2025,22.77,22.91,21.63,21.85,"8,856,206"
