,CRM (NYSE),,,,
Date,Open,High,Low,Close,Volume
12/24/2025,263.23,266.3,262.55,265.26,"2,076,637"
12/23/2025,262.72,264.24,260.52,263.43,"4,745,113"
12/22/2025,260.62,264.63,258.41,264.63,"5,664,201"
12/19/2025,260.68,262.04,255.5,259.91,"20,732,079"
12/18/2025,258.42,260.07,256.16,257.85,"5,654,161"
12/17/2025,256.33,261.97,256.25,258.14,"6,268,965"
12/16/2025,254,255.86,252.11,254.91,"6,145,269"
12/15/2025,261.21,262.28,253.09,254.58,"10,271,792"
12/12/2025,263.52,264.49,260.91,262.23,"6,006,578"
12/11/2025,263.5,267.9,260.77,262.35,"7,783,785"
12/10/2025,260.75,265.93,259.15,264.2,"8,894,682"
12/9/2025,260,262.25,259,261.02,"8,045,882"
12/8/2025,261.88,264.28,256.34,259.53,"10,805,445"
12/5/2025,250.83,261.88,249.5,260.57,"15,852,440"
12/4/2025,243.69,248.97,237.6,247.46,"20,912,133"
12/3/2025,235.36,239.26,233.16,238.72,"13,781,999"
12/2/2025,233.02,236.65,231.62,234.71,"7,626,188"
12/1/2025,228.67,234.25,228.6,232.83,"5,634,655"
11/28/2025,229,232.56,228.63,230.54,"3,691,505"
11/26/2025,230.51,232.82,226,228.15,"8,506,615"
11/25/2025,226.8,234.63,226.52,234.12,"10,232,974"
11/24/2025,227.34,228.84,225.04,226.82,"8,563,304"
11/21/2025,224.86,228.68,221.96,227.11,"7,479,250"
11/20/2025,229.25,231.07,223.3,225.37,"7,521,103"
11/19/2025,232,232.28,225.06,227.88,"9,710,689"
11/18/2025,236.24,237.79,230.27,233.5,"8,045,145"
11/17/2025,242.07,242.83,235.59,237.03,"5,280,850"
11/14/2025,238.31,245.18,237.42,243.66,"5,512,886"
11/13/2025,245.25,245.9,239.91,240.43,"5,542,078"
11/12/2025,245.74,248.43,243.68,246.02,"4,278,214"
11/11/2025,241.9,245.7,241.16,244.5,"5,762,752"
11/10/2025,240,241.91,235.08,241.71,"6,486,584"
11/7/2025,236.15,240.97,235.79,239.88,"5,741,472"
11/6/2025,250.54,250.54,234.48,239.27,"11,041,831"
11/5/2025,254.7,256.83,252.01,252.68,"5,241,235"
11/4/2025,258.15,259.26,253.46,254.44,"6,792,207"
11/3/2025,260,261.56,255.1,261.34,"7,054,310"
10/31/2025,254.8,261.82,252.63,260.41,"6,878,316"
10/30/2025,250.5,259.28,250,256.65,"7,767,832"
10/29/2025,252,253.57,249.04,251.46,"7,904,176"
10/28/2025,255.47,258.84,254.14,254.26,"6,435,589"
10/27/2025,257.08,258.1,254.92,255.47,"4,942,412"
10/24/2025,257.42,258.5,254,254.83,"5,490,805"
10/23/2025,257.6,258.56,254.12,255.05,"6,110,051"
10/22/2025,262.2,262.4,256.51,256.64,"9,369,960"
10/21/2025,254.5,267.13,254,263.41,"13,354,739"
10/20/2025,245,255.4,244.3,254.28,"9,963,869"
10/17/2025,246.57,250.78,242.16,243.08,"10,851,168"
10/16/2025,253.19,256.74,242.67,246,"24,869,700"
10/15/2025,240.87,241.32,235.9,236.58,"8,389,242"
10/14/2025,248.11,248.28,239.55,239.77,"9,123,850"
10/13/2025,242.89,249.35,242.37,248.75,"8,276,527"
10/10/2025,246.52,249.05,240.72,241.68,"7,988,316"
10/9/2025,239.27,245.96,237.15,245.33,"7,929,056"
10/8/2025,239.74,241.32,235.65,240.43,"7,120,245"
10/7/2025,246.48,247.36,237.55,239.74,"8,387,424"
10/6/2025,239.33,250.47,235.41,245.78,"13,922,574"
10/3/2025,238.75,242.81,238.5,240.36,"8,849,786"
10/2/2025,235.43,239.4,233.6,238.88,"7,679,234"
10/1/2025,236.49,242.47,233.51,235.69,"10,016,630"
9/30/2025,245.05,245.21,235.81,237,"10,801,099"
9/29/2025,244.72,245.82,242.87,245.1,"6,373,506"
9/26/2025,240.69,244.53,240.35,243.43,"4,974,641"
9/25/2025,244.5,244.66,239.49,240.95,"8,145,495"
9/24/2025,245.67,248.84,243.01,245.89,"6,707,081"
9/23/2025,249.74,251.36,244.13,244.56,"7,669,787"
9/22/2025,245.28,250.48,243.16,249.69,"7,523,794"
9/19/2025,246.02,247.2,243.35,247.09,"11,813,947"
9/18/2025,244.16,247.29,242.95,244.28,"9,344,384"
9/17/2025,239.97,243,239.38,242.21,"10,123,962"
9/16/2025,242.52,242.68,237.24,239.31,"8,779,787"
9/15/2025,243.25,244.71,240.84,242.52,"7,244,575"
9/12/2025,246.1,247.59,241.25,242.76,"8,386,354"
9/11/2025,243.7,247.17,243.5,246.28,"6,944,891"
9/10/2025,252.75,253.99,241.73,242.57,"11,363,641"
9/9/2025,251.32,255.34,251.21,252.06,"10,901,937"
9/8/2025,250.8,252.94,247.3,252.27,"12,602,238"
