,CRWV (NASD),,,,
Date,Open,High,Low,Close,Volume
12/23/2025,82.28,83.71,78.7,80.26,"22,239,750"
12/22/2025,84.99,87.31,84.18,84.83,"23,984,263"
12/19/2025,70.86,84.29,70.73,83,"70,583,043"
12/18/2025,67.45,68.94,65.87,67.68,"34,161,555"
12/17/2025,69.55,69.99,63.8,64.55,"48,237,253"
12/16/2025,70.7,71.5,67.75,69.5,"36,004,023"
12/15/2025,79.33,79.74,72.02,72.35,"31,357,605"
12/12/2025,86.19,87.7,77.66,78.59,"35,221,384"
12/11/2025,83.01,88.53,81.1,87.38,"26,922,845"
12/10/2025,88.44,89.79,85.35,88.16,"26,553,865"
12/9/2025,84.52,91.22,83.77,90.66,"34,362,163"
12/8/2025,83.65,87,80.15,86.24,"39,915,874"
12/5/2025,87.3,88.76,84.62,88.3,"20,076,811"
12/4/2025,79.19,88.38,77.86,85.75,"29,382,948"
12/3/2025,75.54,79.63,73.38,79.36,"19,858,752"
12/2/2025,77.5,82.84,75.95,76.03,"25,651,306"
12/1/2025,71.25,77.39,69.32,77.06,"25,412,569"
11/28/2025,75.63,75.63,72.13,73.12,"14,114,876"
11/26/2025,74.76,76.6,72.85,74.29,"28,793,302"
11/25/2025,70.84,72.24,66,71.29,"27,805,514"
11/24/2025,72.95,74.21,70.84,73.6,"29,927,635"
11/21/2025,70.78,72.85,65.22,71.65,"38,889,453"
11/20/2025,82.62,83.49,68.95,69.21,"40,999,839"
11/19/2025,75,77.37,72.88,74.92,"26,796,045"
11/18/2025,74.45,77.88,70.47,74.9,"33,464,425"
11/17/2025,75.51,78.48,72.55,75.33,"29,176,435"
11/14/2025,75.85,80.2,73.47,77.36,"52,465,550"
11/13/2025,84.39,85,77.25,78.34,"42,804,793"
11/12/2025,91.77,92.5,85.32,85.43,"41,722,493"
11/11/2025,96.1,98,88,88.39,"76,900,369"
11/10/2025,110.3,110.3,102.78,105.61,"43,561,485"
11/7/2025,103.12,105.35,100.02,104.01,"24,982,631"
11/6/2025,115.94,116.44,104.1,106.93,"26,204,558"
11/5/2025,118.42,118.49,112.17,114.42,"17,381,030"
11/4/2025,119.96,123.24,115.14,115.75,"18,552,215"
11/3/2025,133.84,133.84,125.88,126.32,"14,294,406"
10/31/2025,133.88,138.36,132.3,133.71,"16,050,198"
10/30/2025,135.45,137.18,130.41,131.06,"19,142,020"
10/29/2025,137.75,140.33,134.12,139.93,"19,836,993"
10/28/2025,136.81,141.79,134.55,134.8,"23,205,397"
10/27/2025,135.57,136.93,132.6,136.06,"13,680,758"
