,GOOGL (NASD),,,,
Date,Open,High,Low,Close,Volume
12/23/2025,309.63,314.94,309.32,314.35,"25,478,670"
12/22/2025,309.88,310.13,305.3,309.78,"26,429,937"
12/19/2025,301.73,307.25,300.97,307.16,"59,943,239"
12/18/2025,301.72,303.96,299.23,302.46,"33,518,048"
12/17/2025,308.01,308.09,296.12,296.72,"43,930,358"
12/16/2025,304.95,310.77,302.59,306.57,"30,585,020"
12/15/2025,311.32,311.42,304.88,308.22,"29,151,889"
12/12/2025,313.7,314.87,305.56,309.29,"35,940,170"
12/11/2025,320.08,321.12,308.6,312.43,"42,353,697"
12/10/2025,315.83,321.31,314.68,320.21,"33,428,923"
12/9/2025,312.37,317.99,311.9,317.08,"30,194,027"
12/8/2025,320.05,320.44,311.22,313.72,"33,909,433"
12/5/2025,319.49,323.16,319.17,321.27,"28,851,705"
12/4/2025,322.23,322.36,314.7,317.62,"31,240,924"
12/3/2025,315.89,321.58,314.1,319.63,"41,838,317"
12/2/2025,316.74,318.38,313.91,315.81,"35,854,744"
12/1/2025,317.7,319.85,313.89,314.89,"41,182,956"
11/28/2025,323.37,326.85,316.79,320.18,"26,018,568"
11/26/2025,320.68,324.5,316.79,319.95,"51,373,361"
11/25/2025,326.21,328.83,317.65,323.44,"88,632,074"
11/24/2025,311.13,319.48,309.6,318.58,"85,165,123"
11/21/2025,296.42,303.92,293.85,299.66,"74,137,697"
11/20/2025,304.54,306.42,288.67,289.45,"62,025,218"
11/19/2025,287.16,303.81,286.63,292.81,"68,198,944"
11/18/2025,287.92,288.8,278.2,284.28,"49,158,743"
11/17/2025,285.78,293.95,283.57,285.02,"52,670,192"
11/14/2025,271.41,278.56,270.7,276.41,"31,647,227"
11/13/2025,282.34,282.84,277.24,278.57,"29,494,040"
11/12/2025,291.68,292.01,283.69,286.71,"24,829,923"
11/11/2025,287.75,291.92,287.32,291.31,"19,842,136"
11/10/2025,284.42,290.8,282.86,290.1,"29,557,309"
11/7/2025,283.21,283.78,275.19,278.83,"34,479,588"
11/6/2025,285.33,288.35,281.14,284.75,"37,173,648"
11/5/2025,278.87,286.42,277.34,284.31,"31,010,302"
11/4/2025,276.75,281.27,276.26,277.54,"30,078,369"
11/3/2025,282.18,285.53,279.8,283.72,"29,785,996"
10/31/2025,283.21,286,277.03,281.19,"39,267,945"
10/30/2025,291.59,291.59,280.06,281.48,"74,875,990"
10/29/2025,267.75,275.34,267.67,274.57,"43,580,277"
10/28/2025,269.69,270.73,266.5,267.47,"29,738,564"
10/27/2025,264.82,270.14,264.28,269.27,"35,235,231"
10/24/2025,256.58,261.68,255.32,259.92,"28,655,126"
10/23/2025,252.98,255.04,251.85,253.08,"19,901,425"
10/22/2025,254.37,256.36,249.29,251.69,"35,029,370"
10/21/2025,254.74,254.88,244.15,250.46,"47,312,098"
10/20/2025,254.69,257.33,254.23,256.55,"22,350,155"
10/17/2025,250.76,254.22,247.81,253.3,"29,671,629"
10/16/2025,251.77,256.96,250.1,251.46,"27,997,159"
10/15/2025,247.25,252.11,245.99,251.03,"27,007,690"
10/14/2025,241.23,247.12,240.51,245.45,"22,111,572"
10/13/2025,240.21,244.5,239.71,244.15,"24,995,028"
10/10/2025,241.43,244.09,235.84,236.57,"33,180,323"
10/9/2025,244.47,244.76,239.15,241.53,"27,892,086"
10/8/2025,244.96,246.01,243.82,244.62,"21,307,104"
10/7/2025,248.27,250.44,245.52,245.76,"23,181,285"
10/6/2025,244.78,251.32,244.58,250.43,"28,894,653"
10/3/2025,244.49,246.3,241.66,245.35,"30,249,559"
10/2/2025,245.15,246.81,242.3,245.69,"25,483,298"
10/1/2025,240.75,246.3,238.61,244.9,"31,658,234"
9/30/2025,242.81,243.29,239.25,243.1,"34,724,346"
9/29/2025,247.85,251.15,242.77,244.05,"32,505,777"
