,META (NASD),,,,
Date,Open,High,Low,Close,Volume
12/23/2025,660.05,666,658.25,664.94,"8,486,847"
12/22/2025,661.65,673.58,656.65,661.5,"15,659,385"
12/19/2025,666.42,671,658.18,658.77,"49,977,051"
12/18/2025,657.03,670.56,656.46,664.45,"20,260,295"
12/17/2025,655.61,661.23,649.2,649.5,"15,598,548"
12/16/2025,643.5,662.54,643.2,657.15,"14,309,136"
12/15/2025,645.7,653,638.7,647.51,"15,549,088"
12/12/2025,649.8,711,638.61,644.23,"14,016,915"
12/11/2025,643.29,655.28,640.8,652.71,"13,056,726"
12/10/2025,649.95,654.51,643.4,650.13,"16,910,883"
12/9/2025,663.77,664.48,653.34,656.96,"12,997,116"
12/8/2025,669.34,676.71,665.07,666.8,"13,160,976"
12/5/2025,664,674.69,662.39,673.42,"21,207,861"
12/4/2025,676,676.1,660.05,661.53,"29,874,622"
12/3/2025,644.41,648.85,637.55,639.6,"11,134,305"
12/2/2025,642.34,647.87,638.07,647.1,"11,640,869"
12/1/2025,639.55,645.32,637.76,640.87,"13,029,922"
11/28/2025,636.08,648.05,635.5,647.95,"11,033,198"
11/26/2025,637.69,638.36,631.63,633.61,"15,209,481"
11/25/2025,624,637.05,618.3,636.22,"25,212,978"
11/24/2025,598.72,616.7,597.63,613.05,"23,554,932"
11/21/2025,588.5,598.12,581.86,594.25,"21,052,624"
11/20/2025,603.5,606.72,583.35,589.15,"20,603,024"
11/19/2025,593.72,595.33,581.25,590.32,"24,744,703"
11/18/2025,591.6,603.66,583.78,597.69,"25,500,647"
11/17/2025,609.04,611.69,595.4,602.01,"16,501,331"
11/14/2025,601.79,613.68,595.2,609.46,"20,724,146"
11/13/2025,613.07,617.65,603,609.89,"20,973,845"
11/12/2025,628.13,628.99,607.77,609.01,"24,493,272"
11/11/2025,628,629.56,619.39,627.08,"13,302,187"
11/10/2025,631.09,635,618.11,631.76,"19,245,000"
11/7/2025,616.49,622.13,601.2,621.71,"29,946,826"
11/6/2025,635.85,636,618,618.94,"23,628,750"
11/5/2025,632.31,642.23,626.54,635.95,"20,219,855"
11/4/2025,628.04,641.74,626.01,627.32,"27,356,553"
11/3/2025,656,659.33,636.18,637.71,"33,003,599"
10/31/2025,674.51,674.89,645.57,648.35,"56,953,169"
10/30/2025,669.15,680.96,650.17,666.47,"88,440,094"
10/29/2025,754.75,759.16,742.51,751.67,"26,818,592"
10/28/2025,752.63,758.4,745.52,751.44,"12,193,818"
10/27/2025,749.73,755.75,748.01,750.82,"11,321,080"
10/24/2025,736.79,741.21,731.15,738.36,"9,151,267"
10/23/2025,734.7,742.41,733.1,734,"9,855,974"
10/22/2025,733.83,740.6,724.03,733.41,"8,734,491"
10/21/2025,736.02,738.5,728.75,733.27,"7,647,269"
10/20/2025,721.19,733.77,720.18,732.17,"8,900,204"
10/17/2025,707.08,718.54,706.12,716.92,"12,232,441"
10/16/2025,717.55,725.49,703.88,712.07,"9,017,010"
10/15/2025,717.06,723.9,709.51,717.55,"10,246,766"
10/14/2025,707.78,715.55,699.33,708.65,"8,829,757"
10/13/2025,713.01,719.94,707.64,715.7,"9,251,796"
10/10/2025,730.92,735.27,704.51,705.3,"16,980,091"
10/9/2025,718.28,733.51,712.44,733.51,"12,717,172"
10/8/2025,713.45,719.65,707.81,717.84,"10,790,571"
10/7/2025,717.72,718.5,705.75,713.08,"12,062,928"
10/6/2025,705.19,716.88,690.51,715.66,"21,654,738"
10/3/2025,729.63,731,710.18,710.56,"16,154,305"
10/2/2025,722.58,727.77,718.14,727.05,"11,415,271"
10/1/2025,721.49,721.85,710.2,717.34,"20,419,633"
9/30/2025,742.25,742.97,726.3,734.38,"16,226,750"
9/29/2025,748.72,750.78,739.15,743.4,"9,246,768"
9/26/2025,750,751.93,737.35,743.75,"9,696,338"
9/25/2025,753.45,756.77,744.55,748.91,"10,591,065"
9/24/2025,757.5,761.11,752.53,760.66,"8,828,227"
9/23/2025,769.25,770.6,751.07,755.4,"10,872,592"
9/22/2025,781.85,785.73,764.47,765.16,"11,706,946"
9/19/2025,786.42,790.8,769.19,778.38,"23,696,824"
9/18/2025,780.75,788.78,773.36,780.25,"10,954,950"
9/17/2025,779.99,783.29,766.31,775.72,"9,400,867"
9/16/2025,767,781.36,765.1,779,"11,782,482"
9/15/2025,757.47,774.07,751.99,764.7,"10,533,780"
9/12/2025,748.73,757.57,743.76,755.59,"8,248,557"
9/11/2025,754.65,757.1,748.37,750.9,"7,923,284"
9/10/2025,765.13,765.7,751,751.98,"12,478,276"
9/9/2025,757.49,766.3,753.43,765.7,"10,999,026"
9/8/2025,756,766.51,752.02,752.3,"13,087,816"
9/5/2025,752.62,757.95,745.03,752.45,"9,663,441"
9/4/2025,748.57,761.16,745.82,748.65,"11,439,078"
9/3/2025,736,740.25,733.99,737.05,"7,699,332"
9/2/2025,726.04,736,721.73,735.11,"9,350,857"
8/29/2025,745.28,747.14,735.35,738.7,"9,070,546"
8/28/2025,744,753.05,740.8,751.11,"7,467,955"
8/27/2025,752.3,754.15,742.84,747.38,"8,315,435"
8/26/2025,750.8,754.87,747.94,754.1,"7,601,800"
8/25/2025,754.82,758.88,750.13,753.3,"6,861,158"
8/22/2025,739.23,756.9,734.39,754.79,"10,612,667"
8/21/2025,744.71,745.5,733.11,739.1,"8,876,307"
8/20/2025,747.57,750.2,731,747.72,"11,898,190"
8/19/2025,767.12,767.17,749.36,751.48,"12,286,690"
