,MSFT (NASD),,,,
Date,Open,High,Low,Close,Volume
12/23/2025,484.98,487.83,484.74,486.85,"14,683,582"
12/22/2025,486.12,488.73,482.69,484.92,"16,963,019"
12/19/2025,487.36,487.85,482.49,485.92,"70,836,105"
12/18/2025,478.19,489.6,477.89,483.98,"28,573,545"
12/17/2025,476.91,480,475,476.12,"24,527,176"
12/16/2025,471.91,477.89,470.88,476.39,"20,705,560"
12/15/2025,480.1,480.72,472.52,474.82,"23,727,694"
12/12/2025,479.82,482.45,476.34,478.53,"21,248,102"
12/11/2025,476.63,486.03,475.86,483.47,"24,669,180"
12/10/2025,484.03,484.25,475.08,478.56,"35,756,229"
12/9/2025,489.1,492.12,488.5,492.02,"14,696,078"
12/8/2025,484.89,492.3,484.38,491.02,"21,965,900"
12/5/2025,482.52,483.4,478.88,483.16,"22,608,710"
12/4/2025,479.76,481.32,476.49,480.84,"22,318,155"
12/3/2025,476.32,484.24,475.2,477.73,"34,615,102"
12/2/2025,486.72,493.5,486.32,490,"19,562,722"
12/1/2025,488.44,489.86,484.65,486.74,"23,963,993"
11/28/2025,487.6,492.63,486.65,492.01,"14,386,730"
11/26/2025,486.31,488.31,481.2,485.5,"25,709,079"
11/25/2025,474.07,479.15,464.89,476.99,"28,019,793"
11/24/2025,475,476.9,468.02,474,"34,421,046"
11/21/2025,478.5,478.92,468.27,472.12,"31,769,248"
11/20/2025,492.71,493.57,475.5,478.43,"26,802,542"
11/19/2025,490.1,495.19,482.83,487.12,"23,245,314"
11/18/2025,495.37,502.98,486.78,493.79,"33,815,114"
11/17/2025,508.45,512.12,504.91,507.49,"19,092,752"
11/14/2025,498.23,511.6,497.44,510.18,"28,505,746"
11/13/2025,510.31,513.5,501.29,503.29,"25,273,114"
11/12/2025,509.36,511.67,499.12,511.14,"26,574,851"
11/11/2025,504.8,509.6,502.35,508.68,"17,980,020"
11/10/2025,500.04,506.85,498.8,506,"26,101,480"
11/7/2025,496.95,499.38,493.25,496.82,"24,019,764"
11/6/2025,505.66,505.7,495.81,497.1,"27,406,496"
11/5/2025,513.3,514.83,506.58,507.16,"23,024,342"
11/4/2025,511.76,515.55,507.84,514.33,"20,958,663"
11/3/2025,519.81,524.96,514.59,517.03,"22,374,742"
10/31/2025,528.88,529.32,515.1,517.81,"34,006,424"
10/30/2025,530.48,534.97,522.12,525.76,"41,023,088"
10/29/2025,544.94,546.27,536.73,541.55,"36,023,004"
10/28/2025,550,553.72,540.77,542.07,"29,986,683"
10/27/2025,531.78,534.58,529.01,531.52,"18,734,716"
10/24/2025,522.79,525.35,520.71,523.61,"15,532,360"
10/23/2025,522.46,523.95,518.61,520.56,"14,023,532"
10/22/2025,521.15,525.23,517.71,520.54,"18,962,694"
10/21/2025,517.5,518.69,513.04,517.66,"15,586,204"
10/20/2025,514.61,518.7,513.43,516.79,"14,665,620"
10/17/2025,509.04,515.48,507.31,513.58,"19,867,765"
10/16/2025,512.58,516.85,508.13,511.61,"15,559,565"
10/15/2025,514.96,517.19,510,513.43,"14,694,654"
10/14/2025,510.23,515.28,506,513.57,"14,684,300"
10/13/2025,516.41,516.41,511.68,514.05,"14,284,238"
10/10/2025,519.64,523.58,509.63,510.96,"24,133,840"
10/9/2025,522.34,524.33,517.4,522.4,"18,343,602"
10/8/2025,523.28,526.95,523.09,524.85,"13,363,447"
10/7/2025,528.29,529.8,521.44,523.98,"14,615,208"
10/6/2025,518.61,531.03,518.2,528.57,"21,388,581"
10/3/2025,517.1,520.49,515,517.35,"15,112,321"
10/2/2025,517.64,521.6,510.68,515.74,"21,222,886"
10/1/2025,514.8,520.51,511.69,519.71,"22,632,336"
9/30/2025,513.24,518.16,509.66,517.95,"19,728,229"
9/29/2025,511.5,516.85,508.88,514.6,"17,617,775"
9/26/2025,510.06,513.94,506.62,511.46,"16,213,129"
9/25/2025,508.3,510.01,505.04,507.03,"15,786,468"
9/24/2025,510.38,512.48,506.92,510.15,"13,533,711"
9/23/2025,513.8,514.59,507.31,509.23,"19,799,580"
9/22/2025,515.59,517.74,512.55,514.45,"20,009,314"
9/19/2025,510.56,519.3,510.31,517.93,"52,474,093"
9/18/2025,511.49,513.07,507.66,508.45,"18,913,696"
9/17/2025,510.62,511.29,505.93,510.02,"15,816,585"
9/16/2025,516.88,517.23,508.6,509.04,"19,711,922"
9/15/2025,508.79,515.47,507,515.36,"17,143,786"
9/12/2025,506.65,512.55,503.85,509.9,"23,624,884"
9/11/2025,502.25,503.17,497.88,501.01,"18,881,608"
9/10/2025,502.98,503.23,496.72,500.37,"21,611,816"
9/9/2025,501.43,502.25,497.7,498.41,"14,410,542"
9/8/2025,498.11,501.2,495.03,498.2,"16,771,015"
9/5/2025,509.07,511.97,492.37,495,"31,994,846"
9/4/2025,504.3,508.15,503.15,507.97,"15,509,486"
9/3/2025,503.79,507.79,502.32,505.35,"16,345,078"
9/2/2025,500.47,506,496.81,505.12,"18,127,995"
8/29/2025,508.66,509.6,504.49,506.69,"20,961,569"
8/28/2025,507.09,511.09,505.5,509.64,"18,015,593"
8/27/2025,502,507.29,499.9,506.74,"17,277,893"
8/26/2025,504.36,504.98,498.51,502.04,"30,835,709"
8/25/2025,506.63,508.19,504.12,504.26,"21,638,579"
8/22/2025,504.25,510.73,502.41,507.23,"24,324,161"
8/21/2025,503.69,507.63,502.72,504.24,"18,443,254"
8/20/2025,509.87,511,504.44,505.72,"27,723,025"
8/19/2025,515,515.16,508.55,509.77,"21,481,016"
8/18/2025,521.59,522.82,514.02,517.1,"23,760,583"
8/15/2025,522.77,526.1,519.08,520.17,"25,213,272"
8/14/2025,522.56,525.95,520.14,522.48,"20,269,074"
8/13/2025,532.11,532.7,519.37,520.58,"19,619,160"
8/12/2025,523.75,530.98,522.7,529.24,"18,688,921"
8/11/2025,522.3,527.59,519.72,521.77,"20,194,372"
8/8/2025,522.6,524.66,519.41,522.04,"15,531,009"
8/7/2025,526.8,528.09,517.55,520.84,"16,079,144"
8/6/2025,530.9,531.7,524.03,524.94,"21,355,702"
8/5/2025,537.18,537.3,527.24,527.75,"19,171,569"
