,NVDA (NASD),,,,
Date,Open,High,Low,Close,Volume
12/23/2025,182.97,189.33,182.9,189.21,"174,873,621"
12/22/2025,183.92,184.16,182.35,183.69,"129,064,369"
12/19/2025,176.67,181.45,176.34,180.99,"324,925,927"
12/18/2025,174.53,176.15,171.82,174.14,"176,096,001"
12/17/2025,176.1,176.13,170.31,170.94,"222,775,464"
12/16/2025,176.26,178.49,174.9,177.72,"148,588,098"
12/15/2025,177.94,178.42,175.03,176.29,"164,775,636"
12/12/2025,181.11,182.82,174.62,175.02,"204,274,918"
12/11/2025,180.28,181.32,176.62,180.93,"182,136,641"
12/10/2025,184.97,185.48,182.04,183.78,"162,785,370"
12/9/2025,185.56,185.72,183.32,184.97,"144,719,705"
12/8/2025,182.64,188,182.4,185.55,"204,378,106"
12/5/2025,183.89,184.66,180.91,182.41,"143,971,098"
12/4/2025,181.62,184.52,179.96,183.38,"167,364,857"
12/3/2025,181.08,182.45,179.11,179.59,"165,138,023"
12/2/2025,181.76,185.66,180,181.46,"182,632,230"
12/1/2025,174.76,180.3,173.68,179.92,"188,130,955"
11/28/2025,179.01,179.29,176.5,177,"121,332,776"
11/26/2025,181.63,182.91,178.24,180.26,"183,852,010"
11/25/2025,174.91,178.16,169.55,177.82,"320,600,271"
11/24/2025,179.49,183.5,176.48,182.55,"256,618,335"
11/21/2025,181.24,184.56,172.93,178.88,"346,926,153"
11/20/2025,195.95,196,179.85,180.64,"343,504,849"
11/19/2025,184.79,187.86,182.83,186.52,"247,246,436"
11/18/2025,183.38,184.8,179.65,181.36,"213,598,877"
11/17/2025,185.97,189,184.32,186.6,"173,628,858"
11/14/2025,182.86,191.01,180.58,190.17,"186,591,856"
11/13/2025,191.05,191.44,183.85,186.86,"207,423,074"
11/12/2025,195.72,195.89,191.13,193.8,"154,935,263"
11/11/2025,195.16,195.42,191.3,193.16,"176,483,327"
11/10/2025,195.11,199.94,193.79,199.05,"198,897,134"
11/7/2025,184.9,188.32,178.91,188.15,"264,942,255"
11/6/2025,196.42,197.62,186.38,188.08,"223,029,778"
11/5/2025,198.77,202.92,194.65,195.21,"171,350,332"
11/4/2025,203,203.97,197.93,198.69,"188,919,320"
11/3/2025,208.08,211.34,205.56,206.88,"180,267,285"
10/31/2025,206.45,207.97,202.07,202.49,"179,802,178"
10/30/2025,205.15,206.16,201.41,202.89,"178,864,443"
10/29/2025,207.98,212.19,204.78,207.04,"308,829,564"
10/28/2025,193.05,203.15,191.91,201.03,"297,986,180"
10/27/2025,189.99,192,188.43,191.49,"153,452,704"
10/24/2025,183.84,187.47,183.5,186.26,"131,296,677"
10/23/2025,180.42,183.03,179.79,182.16,"111,363,718"
10/22/2025,181.14,183.44,176.76,180.28,"162,249,552"
10/21/2025,182.79,182.79,179.8,181.16,"124,240,168"
10/20/2025,183.13,185.2,181.73,182.64,"128,544,711"
10/17/2025,180.18,184.1,179.75,183.22,"173,135,217"
10/16/2025,182.23,183.28,179.77,181.81,"179,723,309"
10/15/2025,184.8,184.87,177.29,179.83,"214,450,482"
10/14/2025,184.77,184.8,179.7,180.03,"205,641,380"
10/13/2025,187.97,190.11,185.96,188.32,"153,482,755"
10/10/2025,193.51,195.62,182.05,183.16,"268,774,359"
10/9/2025,192.23,195.3,191.06,192.57,"182,997,234"
10/8/2025,186.57,189.6,186.54,189.11,"130,168,861"
10/7/2025,186.23,189.06,184,185.04,"140,088,008"
10/6/2025,185.5,187.23,183.33,185.54,"157,678,104"
10/3/2025,189.19,190.36,185.38,187.62,"137,596,896"
10/2/2025,189.6,191.05,188.06,188.89,"136,805,821"
10/1/2025,185.24,188.14,183.9,187.24,"173,844,901"
9/30/2025,182.08,187.35,181.48,186.58,"236,981,032"
9/29/2025,180.43,184,180.32,181.85,"193,063,455"
9/26/2025,178.17,179.77,174.93,178.19,"148,573,732"
9/25/2025,174.48,180.26,173.13,177.69,"191,586,733"
9/24/2025,179.77,179.78,175.4,176.97,"143,564,116"
9/23/2025,181.97,182.42,176.21,178.43,"192,559,552"
9/22/2025,175.3,184.55,174.71,183.61,"269,637,001"
9/19/2025,175.77,178.08,175.18,176.67,"237,182,143"
9/18/2025,173.98,177.1,172.96,176.24,"191,763,313"
9/17/2025,172.64,173.2,168.41,170.29,"211,843,817"
9/16/2025,177,177.5,174.38,174.88,"140,737,775"
9/15/2025,175.67,178.85,174.51,177.75,"147,061,559"
9/12/2025,177.77,178.6,176.45,177.82,"124,911,026"
9/11/2025,179.68,180.28,176.48,177.17,"151,159,274"
9/10/2025,176.64,179.29,175.47,177.33,"226,852,020"
9/9/2025,169.09,170.98,166.74,170.76,"157,548,392"
9/8/2025,167.55,170.96,167.35,168.31,"163,769,133"
9/5/2025,168.03,169.03,164.07,167.02,"224,441,435"
9/4/2025,170.57,171.86,169.41,171.66,"141,670,144"
9/3/2025,171.06,172.41,168.88,170.62,"164,424,873"
9/2/2025,170,172.38,167.22,170.78,"231,164,853"
8/29/2025,178.11,178.15,173.15,174.18,"243,257,873"
8/28/2025,180.82,184.47,176.41,180.17,"281,787,824"
8/27/2025,181.98,182.49,179.1,181.6,"235,518,949"
8/26/2025,180.06,182.39,178.81,181.77,"168,688,186"
8/25/2025,178.35,181.91,176.57,179.81,"163,012,789"
8/22/2025,172.61,178.59,171.2,177.99,"172,789,427"
8/21/2025,174.85,176.9,173.81,174.98,"140,040,850"
8/20/2025,175.17,176,168.8,175.4,"215,142,725"
8/19/2025,182.43,182.5,175.49,175.64,"185,229,219"
8/18/2025,180.6,182.94,180.59,182.01,"132,007,959"
8/15/2025,181.88,181.9,178.04,180.45,"156,602,161"
8/14/2025,179.75,183.02,179.46,182.02,"129,553,959"
8/13/2025,182.62,183.97,179.35,181.59,"179,871,724"
8/12/2025,182.96,184.48,179.46,183.16,"145,729,202"
8/11/2025,182.05,183.84,180.25,182.06,"138,323,191"
8/8/2025,181.55,183.3,180.4,182.7,"123,396,679"
8/7/2025,181.57,183.88,178.8,180.77,"151,878,365"
8/6/2025,176.33,179.9,176.25,179.42,"137,192,265"
8/5/2025,179.62,180.26,175.9,178.26,"156,407,621"
8/4/2025,175.16,180.2,174.52,180,"148,174,609"
8/1/2025,174.09,176.54,170.89,173.72,"204,528,985"
7/31/2025,182.9,183.3,175.93,177.87,"221,685,446"
7/30/2025,176.51,179.89,176.04,179.27,"174,312,208"
7/29/2025,177.96,179.38,175.02,175.51,"154,077,512"
7/28/2025,174.02,177,173.97,176.75,"140,023,521"
7/25/2025,173.61,174.72,172.96,173.5,"122,316,792"
7/24/2025,172.44,173.83,171.3,173.74,"128,984,628"
7/23/2025,169.53,171.26,167.97,170.78,"154,082,197"
7/22/2025,171.34,171.39,164.58,167.03,"193,114,327"
7/21/2025,172.75,173.38,171,171.38,"123,126,136"
7/18/2025,173.64,174.25,171.26,172.41,"146,456,416"
7/17/2025,172.02,174.16,170.83,173,"160,841,119"
7/16/2025,171.06,171.75,168.9,171.37,"158,831,509"
7/15/2025,171.19,172.4,169.2,170.7,"230,627,350"
7/14/2025,165.37,165.49,162.02,164.07,"136,975,754"
7/11/2025,163.72,167.89,163.47,164.92,"193,633,263"
7/10/2025,164.32,164.5,161.61,164.1,"167,704,075"
7/9/2025,161.22,164.42,161.16,162.88,"183,656,443"
7/8/2025,159.33,160.22,158.39,160,"138,133,025"
7/7/2025,158.2,159.31,157.34,158.24,"140,138,975"
7/3/2025,158.37,160.98,157.77,159.34,"143,716,055"
7/2/2025,152.98,157.6,152.97,157.25,"171,224,111"
7/1/2025,156.29,157.2,151.49,153.3,"213,143,621"
6/30/2025,158.4,158.66,155.96,157.99,"194,580,316"
6/27/2025,156.04,158.71,155.26,157.75,"263,234,539"
6/26/2025,155.98,156.72,154,155.02,"198,145,746"
6/25/2025,149.27,154.45,149.26,154.31,"269,146,471"
6/24/2025,145.56,147.96,145.5,147.9,"187,566,121"
6/23/2025,142.5,144.78,142.03,144.17,"154,308,941"
6/20/2025,145.45,146.2,142.65,143.85,"242,956,157"
6/18/2025,144.01,145.65,143.12,145.48,"161,494,121"
6/17/2025,144.49,145.22,143.78,144.12,"139,108,000"
6/16/2025,143.35,146.18,143.2,144.69,"183,133,666"
6/13/2025,142.48,143.58,140.86,141.97,"180,820,565"
6/12/2025,141.97,145,141.85,145,"162,364,991"
6/11/2025,144.61,144.99,141.87,142.83,"167,694,044"
6/10/2025,142.69,144.29,141.53,143.96,"155,881,897"
6/9/2025,143.19,145,141.94,142.63,"185,114,494"
6/6/2025,142.51,143.27,141.51,141.72,"153,986,153"
6/5/2025,142.17,144,138.83,139.99,"232,410,759"
6/4/2025,142.19,142.39,139.55,141.92,"167,120,819"
6/3/2025,138.78,142,137.95,141.22,"225,578,783"
6/2/2025,135.49,138.12,135.4,137.38,"197,663,116"
5/30/2025,138.72,139.62,132.92,135.13,"333,170,851"
5/29/2025,142.25,143.49,137.91,139.19,"370,615,167"
5/28/2025,136.03,137.25,134.79,134.81,"304,021,146"
5/27/2025,134.15,135.66,133.31,135.5,"192,953,613"
5/23/2025,130,132.68,129.16,131.29,"198,821,324"
5/22/2025,132.23,134.25,131.55,132.83,"187,343,954"
5/21/2025,133.06,137.4,130.59,131.8,"270,608,738"
5/20/2025,134.29,134.58,132.62,134.38,"161,514,247"
5/19/2025,132.39,135.87,132.39,135.57,"193,154,571"
5/16/2025,136.22,136.35,133.46,135.4,"226,542,451"
5/15/2025,134.3,136.3,132.66,134.83,"226,632,563"
5/14/2025,133.2,135.44,131.68,135.34,"281,180,830"
5/13/2025,124.98,131.22,124.47,129.93,"330,430,105"
5/12/2025,121.97,123,120.28,123,"225,023,345"
5/9/2025,117.35,118.23,115.21,116.65,"132,972,189"
5/8/2025,118.25,118.68,115.85,117.37,"198,428,122"
5/7/2025,113.05,117.68,112.28,117.06,"207,827,821"
5/6/2025,111.48,114.74,110.82,113.54,"158,525,621"
5/5/2025,112.91,114.67,112.66,113.82,"133,163,241"
5/2/2025,114.18,115.4,113.37,114.5,"190,194,778"
5/1/2025,113.08,114.94,111.3,111.61,"236,121,507"
4/30/2025,104.47,108.92,104.08,108.92,"235,044,611"
4/29/2025,107.67,110.2,107.44,109.02,"170,444,263"
4/28/2025,109.69,110.37,106.02,108.73,"207,708,479"
4/25/2025,106.85,111.92,105.73,111.01,"251,064,672"
4/24/2025,103.48,106.54,103.11,106.43,"220,815,041"
4/23/2025,104.52,104.8,102.02,102.71,"247,525,971"
4/22/2025,98.78,99.81,97.28,98.89,"241,004,784"
4/21/2025,98.77,99.44,95.04,96.91,"288,501,136"
4/17/2025,104.45,104.47,100.05,101.49,"292,517,465"
4/16/2025,104.55,106.79,100.45,104.49,"397,016,870"
4/15/2025,110.97,113.62,110.5,112.2,"228,966,900"
4/14/2025,114.11,114.29,109.07,110.71,"264,705,049"
4/11/2025,108.5,111.55,107.48,110.93,"313,417,265"
4/10/2025,109.37,110.86,99.15,107.57,"437,812,353"
4/9/2025,98.89,115.1,97.53,114.33,"612,918,336"
4/8/2025,103.81,105.85,94.46,96.3,"476,243,392"
4/7/2025,87.46,101.75,86.62,97.64,"611,041,347"
4/4/2025,98.91,100.13,92.11,94.31,"532,273,810"
4/3/2025,103.51,105.63,101.6,101.8,"338,769,412"
4/2/2025,107.29,111.98,106.79,110.42,"220,601,243"
4/1/2025,108.52,110.2,106.47,110.15,"222,614,034"
3/31/2025,105.13,110.96,103.65,108.38,"299,212,653"
3/28/2025,111.49,112.87,109.07,109.67,"229,872,549"
3/27/2025,111.35,114.45,110.66,111.43,"236,902,055"
3/26/2025,118.73,118.84,112.71,113.76,"296,431,667"
3/25/2025,120.55,121.29,118.92,120.69,"167,447,198"
3/24/2025,119.88,122.22,119.34,121.41,"228,452,534"
3/21/2025,116.94,117.99,115.42,117.7,"266,498,528"
3/20/2025,116.55,120.2,116.47,118.53,"248,829,749"
3/19/2025,117.27,120.45,115.68,117.52,"273,426,225"
