,PLTR (NASD),,,,
Date,Open,High,Low,Close,Volume
12/24/2025,193.16,195.17,192.83,194.17,"11,710,125"
12/23/2025,192.83,195.37,191.74,194.13,"24,040,968"
12/22/2025,195.04,198.88,192.43,193.98,"36,686,036"
12/19/2025,186.74,195,186.73,193.38,"76,929,380"
12/18/2025,181.51,187.33,181.51,185.69,"40,221,476"
12/17/2025,187.72,187.75,176.5,177.29,"50,424,653"
12/16/2025,181.66,188.5,181.14,187.75,"42,070,267"
12/15/2025,185.08,187.78,180.03,183.25,"32,796,052"
12/12/2025,185.81,186.53,177.67,183.57,"42,427,356"
12/11/2025,184.8,188.05,180.21,187.54,"36,843,184"
12/10/2025,184.95,190.39,182.75,187.91,"59,397,971"
12/9/2025,180.97,182.85,180.38,181.84,"18,937,574"
12/8/2025,182.21,183.88,179.54,181.49,"30,456,689"
12/5/2025,178.23,182.15,177.16,181.76,"32,079,261"
12/4/2025,176.37,178.44,174.43,177.92,"29,217,786"
12/3/2025,170.14,177.91,168.83,176.08,"30,541,605"
12/2/2025,169.59,175.75,169.59,170.69,"35,367,971"
12/1/2025,165,169.1,163.12,167.49,"27,779,617"
11/28/2025,167.76,168.8,165.88,168.45,"17,199,497"
11/26/2025,166.85,168.34,163.88,165.77,"34,610,541"
11/25/2025,160.07,164.65,156.56,163.55,"36,523,528"
11/24/2025,157.47,165.17,157,162.25,"57,877,788"
11/21/2025,156.01,158.11,147.56,154.85,"71,346,356"
11/20/2025,172.07,174.57,154.4,155.75,"78,443,936"
11/19/2025,167.8,169.6,162.42,165.42,"46,108,211"
11/18/2025,168.37,172.83,165.5,167.33,"53,710,064"
11/17/2025,170.53,174.24,167.68,171.25,"50,339,029"
11/14/2025,166.98,177.29,164.5,174.01,"62,596,757"
11/13/2025,181.72,182.7,170.73,172.14,"63,188,767"
11/12/2025,190.58,190.58,180.4,184.17,"55,347,134"
11/11/2025,190.34,192.93,187.13,190.96,"49,819,723"
11/10/2025,184.31,194.93,183.52,193.61,"87,764,245"
11/7/2025,173.15,178.7,168.91,177.93,"73,989,654"
11/6/2025,187.99,191.09,174.53,175.05,"78,468,584"
11/5/2025,189,190.32,181.21,187.9,"76,121,036"
11/4/2025,192.07,195.7,185.56,190.74,"121,380,862"
11/3/2025,205.05,207.52,201.82,207.18,"81,016,835"
10/31/2025,199.2,204.18,197.92,200.47,"52,697,644"
10/30/2025,198.43,199.67,194.12,194.55,"43,541,719"
10/29/2025,191.08,199.85,190.49,198.81,"65,537,255"
10/28/2025,189.48,191.78,186.78,189.6,"38,201,014"
10/27/2025,188.97,192.83,187.52,189.18,"47,153,057"
10/24/2025,182.88,186.17,182.85,184.63,"34,813,464"
10/23/2025,175.45,181.56,175.01,180.48,"35,812,304"
10/22/2025,181.93,182.21,169.42,175.49,"58,263,102"
10/21/2025,182.06,182.39,178.65,181.51,"27,528,145"
10/20/2025,179.49,183.09,177.44,181.59,"31,975,847"
10/17/2025,177.75,181.59,173.95,178.15,"43,421,494"
10/16/2025,181.78,184.82,176.45,178.12,"42,870,891"
10/15/2025,181.66,184.35,176.02,179.62,"37,372,129"
10/14/2025,176,182.34,170.82,179.74,"49,261,447"
10/13/2025,178.68,179.22,173.45,177.21,"41,332,442"
10/10/2025,185.17,187.1,173.53,175.44,"55,194,034"
10/9/2025,183.58,187.62,179.95,185.47,"45,050,252"
10/8/2025,182.8,184.26,181.2,183.56,"36,299,659"
10/7/2025,180.31,186.18,179.42,182.17,"58,179,256"
10/6/2025,179.18,182.95,177.83,179.53,"52,504,240"
10/3/2025,186.4,186.84,170.77,173.07,"105,533,447"
10/2/2025,186.7,188.2,182.95,187.05,"39,849,210"
10/1/2025,181.32,186.28,179.5,184.95,"45,717,299"
9/30/2025,178.98,182.77,178.22,182.42,"43,561,729"
9/29/2025,179.64,181.48,177.16,178.86,"38,413,753"
9/26/2025,179.05,180.12,174.91,177.57,"44,275,794"
9/25/2025,175.8,184.32,174.29,179.12,"72,321,194"
9/24/2025,183.91,184.85,177.12,179.56,"45,379,666"
9/23/2025,182.51,185.75,177.01,182.55,"62,354,834"
9/22/2025,180.88,182.25,178.29,179.33,"45,916,684"
9/19/2025,177.07,184.42,176.71,182.39,"109,129,929"
9/18/2025,170.27,178.8,169.39,176.97,"70,768,631"
9/17/2025,169.02,169.68,161.27,168.33,"69,255,497"
9/16/2025,171.04,171.31,168.96,170.26,"34,598,658"
9/15/2025,169.6,171.8,167.41,171.21,"45,396,116"
9/12/2025,165.35,171.53,164.01,171.43,"54,498,535"
9/11/2025,167.24,167.46,163.22,164.36,"42,025,501"
9/10/2025,166,169,163.44,166.74,"62,211,418"
9/9/2025,157.25,162.75,156.37,162.36,"61,359,531"
9/8/2025,154.91,158.3,154.84,156.1,"47,642,952"
9/5/2025,157.82,158.97,148.04,153.11,"81,855,896"
9/4/2025,154.87,157.04,153.16,156.14,"53,292,341"
9/3/2025,158,161.15,152.71,154.9,"66,052,296"
9/2/2025,151.2,158.39,150.28,157.09,"65,434,969"
8/29/2025,156.98,158.42,153,156.71,"45,270,502"
8/28/2025,157.63,158.23,152.55,158.12,"57,885,244"
8/27/2025,162.32,162.4,155.98,156.72,"76,380,553"
8/26/2025,155.39,162.13,154.57,160.87,"86,573,715"
