,RKLB (NASD),,,,
Date,Open,High,Low,Close,Volume
12/23/2025,73.81,79.18,73.29,77.18,"35,673,312"
12/22/2025,72.94,78.45,72.75,77.55,"48,279,566"
12/19/2025,61.12,70.56,60.75,70.52,"52,764,831"
12/18/2025,56.2,60.25,56.03,59.92,"27,939,357"
12/17/2025,56.1,56.91,53.09,53.96,"23,761,067"
12/16/2025,54.19,56.73,52.68,55.49,"22,447,398"
12/15/2025,63.05,64.56,55.08,55.41,"32,932,215"
12/12/2025,62.5,65.18,59.8,61.49,"33,545,330"
12/11/2025,57.51,64.15,56.85,63.53,"31,378,814"
12/10/2025,53.44,58.83,52.25,57.52,"38,839,854"
12/9/2025,51.23,53.75,50.34,53.43,"17,526,159"
12/8/2025,50.08,52.37,49.22,51.56,"21,748,454"
12/5/2025,48.88,49.7,47.7,49.06,"14,633,125"
12/4/2025,45.65,49.68,44.82,49.37,"28,366,585"
12/3/2025,41.9,44.74,41.5,44.72,"14,385,205"
12/2/2025,40.56,42.99,40.42,41.9,"13,390,810"
12/1/2025,41.15,41.3,39.98,40.37,"13,260,625"
11/28/2025,42.51,42.7,41.8,42.14,"5,636,841"
11/26/2025,43.24,43.59,41.38,41.93,"10,906,064"
11/25/2025,42.03,42.81,40.38,42.6,"10,568,827"
11/24/2025,40.76,42.53,39.3,42.45,"20,280,997"
11/21/2025,39.83,41.05,37.57,40.3,"18,869,983"
11/20/2025,46.08,46.26,39.32,39.48,"25,029,291"
11/19/2025,42.5,44.53,42.43,43.62,"15,303,963"
11/18/2025,42.22,43.61,41.23,42.78,"16,982,022"
11/17/2025,45.15,45.68,42.23,43.31,"17,583,509"
11/14/2025,43.71,47.22,43.3,45.54,"21,107,143"
11/13/2025,48.76,49.38,44.37,45.25,"26,517,134"
11/12/2025,51.93,55.33,49.66,49.97,"21,987,076"
11/11/2025,56,56.96,51.21,51.24,"33,240,062"
11/10/2025,53.74,54.5,50.76,51.9,"22,929,766"
11/7/2025,47.66,52.1,46.31,51.64,"25,058,754"
11/6/2025,56.21,56.21,49.41,49.61,"21,053,053"
11/5/2025,56.66,57.28,54.87,56.42,"13,254,318"
11/4/2025,57.8,59.49,56.51,56.57,"13,725,537"
11/3/2025,63.03,63.1,59.13,61.34,"11,463,477"
10/31/2025,61.77,63.45,60.4,62.98,"13,830,091"
10/30/2025,65,65.18,60.89,60.92,"12,478,959"
10/29/2025,64.15,67.39,63.48,66.16,"17,907,153"
10/28/2025,65.68,66.54,63.61,63.75,"11,772,870"
10/27/2025,66.19,66.35,64.15,65.62,"19,183,285"
10/24/2025,64.81,66.18,63.65,64.56,"12,041,181"
10/23/2025,61.56,64.7,60.75,63.57,"13,226,358"
10/22/2025,62.97,64.02,58.41,60.57,"22,149,432"
10/21/2025,68.04,68.04,64.86,65.4,"17,508,152"
10/20/2025,69.14,72.18,66.68,67.35,"25,835,156"
10/17/2025,65.89,68.5,63.7,66.27,"16,892,933"
10/16/2025,70.07,72.25,66.42,67,"23,835,179"
10/15/2025,70.02,73.97,67.08,69.27,"26,290,819"
10/14/2025,65.34,69.67,62.19,68.03,"27,623,545"
10/13/2025,67.88,70.44,64.62,65.42,"26,180,258"
10/10/2025,70.8,73.5,64.14,64.26,"40,876,811"
10/9/2025,64.9,68.54,64.42,66.42,"25,844,499"
10/8/2025,64.15,68.53,63.65,65.31,"36,149,875"
10/7/2025,59.01,62.56,57.02,61.51,"36,545,635"
10/6/2025,56.87,59.26,55.8,58.5,"31,020,499"
10/3/2025,52.05,56.94,51.26,56.16,"37,741,857"
10/2/2025,48.64,52.65,48.51,52.47,"35,212,859"
10/1/2025,47.38,49.42,47.12,47.97,"25,640,218"
9/30/2025,47.21,47.99,46.51,47.91,"14,856,093"
9/29/2025,47.4,48.1,46.37,47.01,"16,145,380"
9/26/2025,47.3,47.69,45.83,46.26,"14,907,054"
9/25/2025,48,48.62,45.21,46.63,"22,418,540"
9/24/2025,51.8,52.48,48.43,48.69,"30,681,604"
9/23/2025,49.03,54.16,47.91,52.91,"38,063,987"
9/22/2025,47.13,50.26,46.8,49.81,"22,995,857"
9/19/2025,47.68,48.93,47.13,47.79,"26,870,013"
9/18/2025,48.92,49.19,47,47.18,"19,434,130"
9/17/2025,47.57,48.54,46.45,48.08,"20,731,040"
9/16/2025,52,52.08,47.01,47.25,"42,608,071"
9/15/2025,53.58,55.17,52.72,54.04,"23,957,068"
9/12/2025,48.98,54.03,48.61,53.34,"27,889,793"
9/11/2025,46.32,49.67,46.06,48.43,"22,816,313"
9/10/2025,47.53,48.11,45.6,46.17,"11,638,482"
9/9/2025,47.01,47.53,45.51,47.03,"13,243,732"
9/8/2025,45.5,48.2,45.49,47.73,"18,846,406"
9/5/2025,43.57,45.99,42.39,45.84,"17,361,988"
9/4/2025,44.16,44.58,42.7,42.99,"17,273,102"
9/3/2025,50.27,50.9,43.51,43.53,"33,322,331"
9/2/2025,46.75,49.54,45.68,49.31,"20,305,189"
8/29/2025,47.85,48.8,46.02,48.6,"15,897,764"
8/28/2025,46.88,47.98,45.34,47.91,"16,940,195"
8/27/2025,48.68,48.74,45.82,46.25,"16,784,736"
8/26/2025,47.73,50.92,47,48.13,"47,698,035"
8/25/2025,45.16,49.59,44.05,47.22,"30,133,227"
8/22/2025,40.97,44.68,40.42,44.38,"18,818,248"
8/21/2025,40.78,41.87,40.22,41.53,"14,951,474"
8/20/2025,40.21,40.86,38.26,40.69,"20,325,039"
8/19/2025,45.1,45.16,40.9,40.92,"24,104,830"
8/18/2025,44.3,47.08,44.03,44.97,"21,268,927"
8/15/2025,42.98,44.88,41.75,44.27,"14,183,124"
8/14/2025,42.76,45.69,42.01,42.81,"18,472,926"
8/13/2025,44,44.7,42.44,43,"14,523,637"
8/12/2025,45.37,47.27,43.42,43.43,"20,922,204"
8/11/2025,44.65,46.1,41.51,45.02,"24,893,549"
8/8/2025,47.54,49.92,43.5,44.69,"39,170,199"
8/7/2025,44.19,44.58,43.1,44.21,"21,522,059"
8/6/2025,44.71,45.1,43.67,44.1,"8,051,641"
8/5/2025,45.12,45.38,43.13,44.75,"10,920,434"
8/4/2025,45.1,45.8,44.07,44.54,"11,625,061"
8/1/2025,43.2,46.17,42.32,44.81,"16,566,292"
7/31/2025,46.37,47.72,45.43,45.92,"13,041,472"
7/30/2025,43.86,46.56,43.36,46.44,"16,853,439"
7/29/2025,45.41,45.51,42.83,43.79,"14,706,515"
7/28/2025,47.96,48.17,44.41,45.11,"20,928,726"
7/25/2025,47.9,48.23,46.45,47.43,"14,517,933"
7/24/2025,49.3,49.62,47.31,48.13,"12,600,554"
7/23/2025,47.62,49.28,46.93,49.15,"18,179,914"
7/22/2025,45.99,47.87,44.46,46.88,"24,381,737"
7/21/2025,50.05,51.58,46.85,47.19,"29,305,900"
7/18/2025,50.65,51.85,47.91,51.39,"32,919,640"
7/17/2025,48.7,53.44,48.6,51.33,"46,760,173"
7/16/2025,45.55,48.07,44.86,47.69,"26,770,886"
7/15/2025,43.29,45.48,42.82,44.6,"29,999,724"
7/14/2025,39.3,43.47,38.77,43.21,"29,196,169"
7/11/2025,38.97,40.3,38.6,39.03,"16,371,475"
7/10/2025,39.17,39.68,38.13,39.1,"13,663,829"
7/9/2025,38.53,39.43,37.77,39.14,"16,267,272"
7/8/2025,38.49,39.94,37.98,38.74,"27,769,372"
7/7/2025,36.98,39.06,35.28,38.88,"35,564,138"
7/3/2025,35.79,36.21,35.25,35.66,"7,975,973"
7/2/2025,34.39,35.79,33.73,35.68,"14,865,574"
7/1/2025,37.02,38.26,33.88,34.33,"26,656,511"
6/30/2025,36.54,37.95,35.42,35.77,"18,438,352"
6/27/2025,36.65,37.66,34.83,35.38,"75,749,287"
6/26/2025,32.41,37.27,32.41,36.14,"41,601,812"
6/25/2025,34,34.5,31.78,32.35,"22,969,836"
6/24/2025,33.08,34.23,32.43,33.46,"28,392,644"
6/23/2025,28.93,32.93,28.44,32.78,"44,056,812"
6/20/2025,28.35,30.11,27.84,30.04,"37,065,965"
6/18/2025,26.4,28.07,26.23,27.85,"18,457,723"
6/17/2025,26.1,27.22,25.71,26.42,"14,498,908"
6/16/2025,25.87,26.58,25.6,26.55,"13,601,318"
6/13/2025,25.65,26.51,25.24,25.41,"15,593,935"
6/12/2025,27.04,27.41,26.28,26.4,"12,967,501"
6/11/2025,27.72,28.04,26.89,27.36,"21,283,359"
6/10/2025,29.57,29.79,27,27.17,"30,798,147"
6/9/2025,30,32.7,28.35,29.64,"60,217,083"
6/6/2025,28.16,29.09,26.35,28.92,"34,136,532"
6/5/2025,26.88,26.96,25.52,26.45,"28,419,065"
6/4/2025,26.75,27.46,26.16,26.91,"11,683,044"
6/3/2025,27.39,28,26.47,26.72,"12,186,460"
6/2/2025,26.5,27,25.81,26.6,"10,757,146"
5/30/2025,27.02,27.22,26.03,26.79,"12,706,288"
5/29/2025,29.69,30.03,27.26,27.35,"16,382,724"
5/28/2025,29.91,30.78,28.52,28.93,"30,832,457"
5/27/2025,26.6,28.76,26.58,28.76,"21,781,500"
5/23/2025,25.34,25.52,24.67,25.42,"14,249,928"
5/22/2025,24.75,26.57,23.92,25.82,"18,681,195"
5/21/2025,25.66,26.66,25.04,25.17,"17,081,847"
5/20/2025,25.94,26.4,25.34,26,"18,173,574"
5/19/2025,24.3,25.82,24.29,25.8,"17,316,297"
5/16/2025,25.3,25.75,24.93,25.57,"24,452,924"
5/15/2025,23.59,25.23,22.77,25.22,"27,530,551"
5/14/2025,21.99,24.52,21.86,24.13,"36,800,892"
5/13/2025,21.68,22.37,21.44,21.83,"14,950,661"
5/12/2025,21.76,21.8,20.89,21.26,"15,229,690"
5/9/2025,22.9,22.9,20.23,20.51,"30,349,715"
5/8/2025,23.03,23.2,22.25,23.1,"15,754,037"
5/7/2025,22.4,22.48,21.85,22.29,"7,784,717"
5/6/2025,21.92,22.44,21.5,22.37,"7,751,350"
5/5/2025,22.56,22.93,22.26,22.48,"8,016,305"
5/2/2025,22.38,23.42,22.34,22.99,"12,728,867"
5/1/2025,22.37,22.38,21.7,22.12,"8,397,374"
4/30/2025,21.2,22.1,20.73,21.79,"10,400,129"
4/29/2025,22.83,23,22.3,22.4,"6,646,525"
4/28/2025,23.2,23.77,21.72,22.67,"13,139,011"
4/25/2025,21.99,22.56,21.75,22.38,"13,775,635"
4/24/2025,20.31,22.07,20.02,21.88,"15,536,370"
4/23/2025,20.45,21.4,20.09,20.29,"17,819,299"
4/22/2025,18.88,19.42,18.55,19.04,"9,383,879"
4/21/2025,19.47,19.72,18.21,18.65,"9,055,626"
4/17/2025,20.09,20.43,19.42,19.74,"9,225,420"
4/16/2025,20.3,20.64,19.51,19.98,"14,733,021"
4/15/2025,19.95,22.1,19.77,21.07,"30,434,199"
4/14/2025,20.31,20.46,18.66,19.13,"13,196,837"
4/11/2025,19.56,19.97,18.87,19.63,"15,484,352"
4/10/2025,19.81,20.74,18.93,19.63,"16,731,421"
4/9/2025,17.5,21.39,17.2,20.59,"31,470,410"
4/8/2025,18.54,19.39,16.73,17.18,"19,958,387"
4/7/2025,14.72,18.24,14.71,17.52,"23,935,487"
4/4/2025,17.13,17.38,15,16.37,"22,799,681"
4/3/2025,17.77,18.31,17.42,17.89,"16,592,890"
4/2/2025,17.59,19.75,17.5,19.34,"15,260,401"
4/1/2025,17.69,18.8,17.11,18.15,"14,075,277"
3/31/2025,17.89,18.4,17.35,17.88,"15,132,500"
3/28/2025,19.56,19.79,18.43,18.62,"25,511,877"
3/27/2025,19.05,19.29,18.31,18.42,"11,754,337"
3/26/2025,20.04,20.35,19.39,19.44,"12,811,602"
3/25/2025,20.3,20.39,19.61,20.27,"12,026,534"
3/24/2025,19.45,20.45,19.41,20.21,"13,807,146"
3/21/2025,18.11,18.98,17.98,18.94,"16,743,564"
3/20/2025,18.4,18.87,18.16,18.53,"8,508,991"
3/19/2025,18.3,19.07,17.78,18.78,"12,096,266"
3/18/2025,18.6,18.6,17.96,17.98,"9,768,330"
