,TSLA (NASD),,,,
Date,Open,High,Low,Close,Volume
12/23/2025,489.4,491.97,482.84,485.56,"58,223,633"
12/22/2025,489.88,498.83,485.33,488.73,"86,916,066"
12/19/2025,488.12,490.49,474.72,481.2,"103,305,424"
12/18/2025,478.16,490.86,473.12,483.37,"95,168,446"
12/17/2025,488.22,495.28,466.2,467.26,"106,490,405"
12/16/2025,472.21,491.5,465.83,489.88,"107,608,075"
12/15/2025,469.44,481.77,467.66,475.31,"114,542,204"
12/12/2025,448.09,463.01,441.67,458.96,"95,656,749"
12/11/2025,448.95,449.27,440.33,446.89,"55,979,492"
12/10/2025,446.07,456.88,443.61,451.45,"63,257,475"
12/9/2025,437.54,452.39,435.7,445.17,"62,367,442"
12/8/2025,447.45,449.75,435.25,439.58,"69,165,753"
12/5/2025,453.03,458.87,451.66,455,"56,427,522"
12/4/2025,449.94,454.63,445.39,454.53,"71,906,488"
12/3/2025,432.1,447.92,431.11,446.74,"87,482,964"
12/2/2025,430.81,436.8,422.12,429.24,"69,336,626"
12/1/2025,425.32,433.66,425.29,430.14,"57,463,552"
11/28/2025,426.59,432.93,426.2,430.17,"36,252,861"
11/26/2025,423.95,426.94,416.89,426.58,"63,462,996"
11/25/2025,414.42,420.48,405.95,419.4,"71,915,624"
11/24/2025,402.17,421.72,401.09,417.78,"96,806,374"
11/21/2025,402.32,402.8,383.76,391.09,"100,460,633"
11/20/2025,414.63,428.94,394.74,395.23,"113,548,827"
11/19/2025,406.18,411.78,398.5,403.99,"72,047,704"
11/18/2025,405.38,408.9,393.71,401.25,"80,688,637"
11/17/2025,398.74,423.96,398.74,408.92,"102,214,259"
11/14/2025,386.3,412.19,382.78,404.35,"105,506,682"
11/13/2025,423.13,424.5,396.34,401.99,"118,948,032"
11/12/2025,442.15,442.33,426.56,430.6,"58,513,520"
11/11/2025,439.4,442.49,432.36,439.62,"60,533,237"
11/10/2025,439.6,449.67,433.36,445.23,"76,515,907"
11/7/2025,437.92,439.36,421.88,429.52,"103,471,495"
11/6/2025,461.96,467.45,435.09,445.91,"109,622,907"
11/5/2025,452.05,466.33,440.71,462.07,"85,573,015"
11/4/2025,454.46,460.22,443.6,444.26,"87,756,644"
11/3/2025,455.99,474.07,453.8,468.37,"84,595,244"
10/31/2025,446.75,458,443.69,456.56,"83,135,787"
10/30/2025,451.05,455.06,439.61,440.1,"72,447,938"
10/29/2025,462.5,465.7,452.65,461.51,"67,983,544"
10/28/2025,454.78,467,451.6,460.55,"80,185,667"
10/27/2025,439.98,460.16,438.69,452.42,"105,867,547"
10/24/2025,446.83,451.68,430.17,433.72,"94,727,774"
10/23/2025,420,449.4,413.9,448.98,"126,709,833"
10/22/2025,443.45,445.54,429,438.97,"84,023,458"
10/21/2025,445.76,449.3,442.05,442.6,"54,412,169"
10/20/2025,443.87,449.8,440.61,447.43,"63,718,971"
10/17/2025,425.5,441.46,423.6,439.31,"89,331,578"
10/16/2025,434.73,439.35,421.31,428.75,"77,189,889"
10/15/2025,434.9,440.51,426.33,435.15,"71,558,185"
10/14/2025,426.79,434.2,417.86,429.24,"72,669,438"
10/13/2025,423.53,436.89,419.7,435.9,"79,552,785"
10/10/2025,436.54,443.13,411.45,413.49,"112,107,870"
10/9/2025,431.81,436.35,426.18,435.54,"69,339,928"
10/8/2025,437.57,441.33,425.23,438.69,"71,192,128"
10/7/2025,447.82,452.68,432.45,433.09,"102,296,082"
10/6/2025,440.75,453.55,436.69,453.25,"85,324,878"
10/3/2025,443.29,446.77,416.58,429.83,"133,188,180"
10/2/2025,470.54,470.75,435.57,436,"137,008,950"
10/1/2025,443.8,462.29,440.75,459.46,"98,122,285"
9/30/2025,441.52,445,433.12,444.72,"74,357,960"
9/29/2025,444.35,450.98,439.5,443.21,"79,491,510"
9/26/2025,428.3,440.47,421.02,440.4,"101,628,160"
9/25/2025,435.24,435.35,419.08,423.39,"96,746,426"
9/24/2025,429.83,444.21,429.03,442.79,"93,133,570"
9/23/2025,439.88,440.97,423.72,425.85,"83,422,691"
9/22/2025,431.11,444.98,429.13,434.21,"97,108,777"
9/19/2025,421.82,429.47,421.72,426.07,"93,131,034"
9/18/2025,428.87,432.22,416.56,416.85,"90,454,509"
9/17/2025,415.75,428.31,409.67,425.86,"106,133,532"
9/16/2025,414.5,423.25,411.43,421.62,"104,285,721"
9/15/2025,423.13,425.7,402.43,410.04,"163,823,667"
9/12/2025,370.94,396.69,370.24,395.94,"168,156,391"
9/11/2025,350.17,368.99,347.6,368.81,"103,756,010"
9/10/2025,350.55,356.33,346.07,347.79,"72,121,679"
9/9/2025,348.44,350.77,343.82,346.97,"53,815,991"
9/8/2025,354.64,358.44,344.84,346.4,"75,208,290"
9/5/2025,348,355.87,344.68,350.84,"108,989,785"
9/4/2025,336.15,338.89,331.48,338.53,"60,711,033"
9/3/2025,335.2,343.33,328.51,334.09,"88,733,288"
9/2/2025,328.23,333.33,325.6,329.36,"58,391,952"
8/29/2025,347.23,348.75,331.7,333.87,"81,145,660"
8/28/2025,350.91,353.55,340.26,345.98,"67,903,224"
8/27/2025,351.94,355.39,349.16,349.6,"65,519,012"
8/26/2025,344.93,351.9,343.72,351.67,"76,651,550"
8/25/2025,338.9,349.53,335.03,346.6,"86,670,037"
8/22/2025,321.66,340.25,319.69,340.01,"94,016,347"
8/21/2025,322.08,324.9,318.68,320.11,"55,744,445"
8/20/2025,329.22,331.37,314.6,323.9,"77,481,768"
8/19/2025,335.79,340.55,327.85,329.31,"75,956,002"
8/18/2025,329.62,336.27,329.59,335.16,"56,956,552"
8/15/2025,337.66,339.3,327.02,330.56,"74,319,792"
8/14/2025,335.76,340.47,330.4,335.58,"75,000,662"
8/13/2025,341.5,348.98,338.2,339.38,"67,838,892"
8/12/2025,345,345.26,332.94,340.84,"80,690,111"
8/11/2025,335,346.64,334.15,339.03,"105,320,174"
8/8/2025,321.43,335.15,320.98,329.65,"91,200,319"
