,UBER (NYSE),,,,
Date,Open,High,Low,Close,Volume
12/23/2025,81.01,81.42,80.35,80.97,"10,445,516"
12/22/2025,81.32,82.25,80.9,81.26,"20,570,444"
12/19/2025,79.77,79.99,78.31,79.31,"34,353,345"
12/18/2025,80.36,80.71,79.55,79.69,"18,681,835"
12/17/2025,80.81,81.3,78.78,79.14,"28,007,486"
12/16/2025,81.75,82.05,80.26,80.92,"24,465,079"
12/15/2025,83.46,83.62,81.17,81.86,"32,070,891"
12/12/2025,85.5,86.45,84.52,85.11,"16,211,632"
12/11/2025,84.06,85.75,83.34,85.44,"23,346,312"
12/10/2025,88.64,88.75,82.72,84.16,"51,202,039"
12/9/2025,91.81,92.01,88.91,89.07,"17,117,532"
12/8/2025,90.77,92.78,90.77,92.57,"12,646,872"
12/5/2025,90.72,92.75,90.46,91.32,"11,154,581"
12/4/2025,90.18,91,89.45,90.99,"13,145,303"
12/3/2025,89.85,91.38,88.95,90.68,"21,335,780"
12/2/2025,86.03,88.44,85.63,87.57,"18,930,358"
12/1/2025,86.99,87.61,85.48,86.57,"17,517,249"
11/28/2025,86.51,87.62,86.24,87.54,"9,069,354"
11/26/2025,84.11,86.36,83.65,85.66,"20,448,733"
11/25/2025,83.8,84.27,82.39,83.69,"18,482,245"
11/24/2025,84.15,84.52,83.03,83.69,"24,883,181"
11/21/2025,83.97,84,81.51,83.87,"33,783,117"
11/20/2025,90.2,90.54,82.94,83.36,"41,734,033"
11/19/2025,90.6,91.08,88.89,89.53,"18,256,220"
11/18/2025,92.1,92.92,89.33,90.86,"17,439,409"
11/17/2025,91.31,92.58,90.74,92.11,"16,922,538"
11/14/2025,90.06,92.62,89.62,91.62,"12,475,614"
11/13/2025,93.7,94.06,91.35,91.78,"16,367,483"
11/12/2025,94.11,95.18,92.76,93.57,"16,004,628"
11/11/2025,93.65,94.16,92.97,93.6,"13,276,267"
11/10/2025,92.99,94.31,92.25,94.1,"13,310,157"
11/7/2025,91.61,93.17,90.3,91.99,"16,489,915"
11/6/2025,92,92.77,90.82,92.12,"18,316,239"
11/5/2025,95.01,95.44,92.52,92.75,"20,150,828"
11/4/2025,91.97,95.03,90.08,94.67,"48,787,312"
11/3/2025,97.66,100.35,96.78,99.72,"28,836,486"
10/31/2025,97.46,98.45,96.15,96.5,"15,333,424"
10/30/2025,95.41,97.62,94.56,96.49,"13,556,603"
10/29/2025,96.24,96.89,94.53,95.76,"14,532,902"
10/28/2025,96.77,97.73,95.41,95.43,"17,138,332"
10/27/2025,94.91,96.66,94.53,96.42,"11,748,269"
10/24/2025,95.15,95.26,93.9,94.07,"12,014,562"
10/23/2025,92.5,95.7,92.4,94.61,"17,121,601"
10/22/2025,92.77,93.42,91.42,92.21,"11,351,426"
10/21/2025,93.59,94.55,92.97,93.03,"10,503,265"
10/20/2025,93,94.5,92.85,93.7,"11,274,925"
10/17/2025,92,92.83,91.46,92.3,"14,282,113"
10/16/2025,94.44,95.46,91.18,92.52,"17,214,833"
10/15/2025,95.86,96.99,93.79,94.52,"14,347,098"
10/14/2025,93.78,95.18,92.46,94.25,"11,177,983"
10/13/2025,95,95.25,93.43,94.08,"11,031,439"
10/10/2025,96.3,96.45,93.33,93.4,"17,021,108"
10/9/2025,99.97,100.17,95.83,96,"13,435,667"
10/8/2025,97.94,99.61,97.2,99.28,"10,071,238"
10/7/2025,100.13,100.69,97,97.8,"12,583,609"
10/6/2025,96.96,101.3,96.89,100.1,"22,760,917"
10/3/2025,96.95,98.3,96.46,96.6,"10,556,418"
10/2/2025,97.08,97.21,94.76,96.61,"16,046,354"
10/1/2025,97.48,99.09,96.57,96.61,"16,608,459"
9/30/2025,99.59,99.75,96.65,97.97,"16,793,406"
9/29/2025,99.32,100.26,98.59,99.57,"16,320,890"
9/26/2025,97.8,98.53,97.03,98.45,"10,356,143"
9/25/2025,97.3,97.87,95.9,97.6,"11,255,801"
9/24/2025,98.89,99.86,96.93,97.78,"12,523,365"
9/23/2025,99.86,100.18,97.65,97.8,"15,101,138"
9/22/2025,99,101.99,98.5,99.39,"29,820,118"
9/19/2025,95,98.83,94.9,98.51,"38,734,980"
9/18/2025,93.93,95.05,93.21,94.7,"23,075,215"
9/17/2025,96.07,97.24,92.12,92.95,"44,093,982"
9/16/2025,99.42,99.7,97.02,97.83,"17,257,932"
9/15/2025,95.8,98.86,95.52,98.85,"18,652,432"
9/12/2025,94.49,96.27,93.71,95.89,"13,659,231"
9/11/2025,94.55,96.32,94,94.68,"16,190,072"
9/10/2025,95.51,96.1,93.71,94.21,"15,944,174"
9/9/2025,94.5,95.48,92.77,95.45,"11,850,204"
9/8/2025,91.38,94.56,91.38,94.36,"18,906,552"
9/5/2025,92.53,92.53,88.84,90.99,"20,384,532"
9/4/2025,93.11,93.13,90.93,91.98,"15,960,139"
9/3/2025,92.75,94.77,92.18,92.94,"12,052,156"
9/2/2025,92.26,93.54,91.92,92.81,"12,883,300"
8/29/2025,96,96.15,91.61,93.75,"19,309,971"
8/28/2025,96.03,96.11,94.08,95.96,"12,024,311"
8/27/2025,96.5,96.95,95.33,95.33,"11,364,308"
8/26/2025,94.88,96.82,94.36,96.53,"17,163,370"
8/25/2025,95.66,97.5,95.13,95.16,"10,938,118"
8/22/2025,94.46,97.54,94.29,96.79,"15,584,856"
8/21/2025,93.62,95,92.81,94.23,"12,864,137"
8/20/2025,94.83,94.96,91.44,93.73,"15,194,791"
8/19/2025,94,96.6,93.85,95.32,"21,177,259"
8/18/2025,92.22,94.4,91.89,93.98,"16,471,274"
8/15/2025,91.65,93.9,90.86,92.6,"15,841,814"
8/14/2025,90.35,92.32,90.11,91.4,"14,525,102"
8/13/2025,92.05,92.2,89.91,90.83,"16,867,321"
8/12/2025,91.19,92.56,91.14,91.73,"12,530,490"
8/11/2025,89.81,91.43,88.92,90.58,"16,668,940"
8/8/2025,92.96,94.31,88.91,89.56,"26,212,493"
8/7/2025,90.72,92.74,89.16,92.67,"28,522,247"
8/6/2025,90.95,90.96,86.3,89.22,"40,169,819"
8/5/2025,89.37,90.96,89.05,89.39,"25,855,952"
8/4/2025,87.7,88.59,87.41,88.43,"15,138,877"
8/1/2025,86.51,87.06,85.42,86.91,"15,732,456"
7/31/2025,87.53,88.84,86.61,87.75,"16,922,440"
7/30/2025,87.24,87.81,86.48,87.64,"16,862,770"
7/29/2025,88.89,89.16,86.36,87.11,"24,966,230"
7/28/2025,91.31,92.35,90.24,90.6,"11,606,054"
7/25/2025,90.49,91.38,89.5,91.29,"13,864,112"
7/24/2025,91.05,93.61,90.87,90.87,"23,446,209"
7/23/2025,92.7,92.7,89.87,89.94,"18,617,929"
7/22/2025,91.48,92.26,89.88,91.79,"11,561,753"
7/21/2025,90.85,91.93,90.53,91.16,"12,150,601"
7/18/2025,90.8,91.17,89.41,90.59,"14,223,531"
7/17/2025,91.21,91.4,89.9,90.5,"16,903,582"
7/16/2025,92.65,92.75,89.81,90.75,"17,646,529"
7/15/2025,95,95.16,91.85,92.21,"18,488,377"
7/14/2025,95.19,95.48,93.56,93.89,"14,300,220"
7/11/2025,96.13,96.84,95.27,95.39,"12,453,518"
7/10/2025,96.07,97.45,95.12,96.4,"15,650,890"
7/9/2025,97.5,97.72,96.1,96.64,"14,858,918"
7/8/2025,96.89,97.6,95.11,97.48,"20,586,820"
7/7/2025,93.54,97.12,93.54,96.68,"29,817,173"
7/3/2025,92.63,94.11,92.61,93.63,"8,112,562"
7/2/2025,91.88,94.1,91.55,92.05,"13,603,968"
7/1/2025,92.85,93.24,90.31,92.13,"17,124,009"
6/30/2025,91.69,93.39,91.52,93.3,"16,155,270"
6/27/2025,92.1,92.51,89.97,91.53,"24,731,168"
6/26/2025,91.3,94.38,90.88,93.12,"23,657,765"
6/25/2025,91.57,92.89,90.6,90.9,"17,400,840"
6/24/2025,87.99,92.48,87.91,91.65,"38,925,080"
6/23/2025,83.03,85.25,82.47,85.24,"18,407,481"
6/20/2025,84.47,85.37,83.62,83.78,"27,472,093"
6/18/2025,85.17,86.48,82.31,83.44,"25,976,728"
6/17/2025,84.57,85.48,84.24,84.76,"13,677,826"
6/16/2025,84.85,86.02,84.71,85.12,"12,254,177"
6/13/2025,84.81,85.57,83.38,83.93,"18,003,031"
6/12/2025,86.11,86.79,84.87,85.62,"18,776,059"
6/11/2025,87.59,87.6,85.94,86.58,"15,364,234"
6/10/2025,88.29,88.38,85.6,86.39,"24,494,761"
6/9/2025,86.32,87.86,86.2,87.12,"22,780,754"
6/6/2025,85.4,86.69,85.03,85.6,"28,172,652"
6/5/2025,83.4,85.75,83.08,84.67,"33,343,311"
6/4/2025,83.19,84.71,82.99,83.45,"20,080,520"
6/3/2025,83.58,83.79,81.86,82.53,"25,668,362"
6/2/2025,84.48,84.76,82.64,83.64,"17,047,042"
5/30/2025,84.53,84.65,82.54,84.16,"29,050,884"
5/29/2025,87.58,87.87,82.96,84.3,"38,152,040"
5/28/2025,89.29,89.88,88.12,88.26,"13,810,322"
5/27/2025,89.17,89.72,87.89,89,"17,446,940"
5/23/2025,87.21,88.49,86.7,87.75,"17,929,659"
5/22/2025,88.45,89.26,87.88,88,"16,495,999"
5/21/2025,90.64,91.04,88,88.67,"25,035,133"
5/20/2025,93.35,93.6,90.61,91.87,"20,851,285"
5/19/2025,90.88,92.55,90.56,92.46,"19,252,125"
5/16/2025,90.55,92.9,89.71,91.79,"21,909,595"
5/15/2025,89.66,91.11,89.24,90.16,"20,481,634"
5/14/2025,90.58,91.65,89.68,90.41,"30,640,123"
5/13/2025,87.41,92.17,86.93,91.72,"36,770,807"
5/12/2025,84.62,88.31,82.22,88.1,"39,104,621"
5/9/2025,82.85,84.12,82.32,82.81,"19,105,415"
5/8/2025,83.87,84,82,82.3,"24,293,149"
5/7/2025,83.13,85.17,80.12,83.65,"49,263,147"
5/6/2025,83.5,86.53,83.1,85.83,"30,378,857"
5/5/2025,83.05,86.57,82.97,85.43,"25,339,028"
5/2/2025,82.09,84.92,81.8,84.28,"22,401,820"
5/1/2025,81,81.92,80.67,80.89,"18,698,482"
4/30/2025,77.77,81.22,77.3,81.01,"17,762,848"
4/29/2025,78.33,79.73,78.03,79.42,"12,172,235"
4/28/2025,78.11,78.78,77.04,78.33,"13,324,224"
4/25/2025,78.57,80.55,77.47,77.75,"20,047,759"
4/24/2025,74.16,78.38,73.86,78.1,"22,188,511"
4/23/2025,76.93,77.58,73.23,73.77,"22,750,160"
4/22/2025,73.85,75.56,73.35,74.44,"16,599,288"
4/21/2025,74.44,75.44,71.27,72.92,"20,634,635"
4/17/2025,73.98,75.91,73.76,75.24,"21,893,392"
4/16/2025,73.58,74.8,72.05,73.06,"15,990,828"
4/15/2025,73.1,74.72,73.1,74.02,"13,790,153"
4/14/2025,73.52,73.65,72.23,73.1,"12,483,180"
4/11/2025,70.46,72.4,69.33,72.28,"16,274,572"
4/10/2025,71.75,72.87,68.34,70.94,"22,373,898"
4/9/2025,65,73.4,64.95,72.68,"30,148,812"
4/8/2025,69.31,70.07,63.5,65.07,"24,045,232"
4/7/2025,62.52,67.59,60.63,65.64,"32,841,703"
4/4/2025,66.7,67.56,63.94,64.62,"34,938,669"
4/3/2025,71.72,72.44,69.77,69.85,"23,290,795"
4/2/2025,72,75.41,72,74.5,"14,806,850"
4/1/2025,72.6,73.07,70.83,72.99,"16,889,182"
3/31/2025,71.4,73.3,70.5,72.86,"16,033,066"
3/28/2025,74.5,74.92,72.38,72.75,"11,277,874"
3/27/2025,73.9,75.62,73.53,74.86,"11,866,807"
3/26/2025,75.55,75.64,73.23,74.18,"11,845,809"
3/25/2025,76.6,76.71,75.05,75.61,"16,065,879"
3/24/2025,76.97,77.58,75.44,76.51,"18,126,303"
3/21/2025,73.72,76,72.77,75.84,"26,551,402"
3/20/2025,72.56,75.54,72.46,74.35,"17,851,353"
3/19/2025,71.92,73.79,70.73,73.02,"15,042,059"
3/18/2025,72.2,72.68,70.48,71.55,"16,137,507"
3/17/2025,72.02,73.81,71.78,72.73,"20,577,768"
3/14/2025,70.55,71.79,70.33,71.55,"13,537,279"
3/13/2025,71.68,72,69.36,69.51,"15,272,232"
3/12/2025,72.31,72.42,69.55,71.2,"17,315,032"
3/11/2025,71.44,74.25,69.57,70.65,"26,668,190"
3/10/2025,74.94,75.49,71.97,73.06,"22,120,094"
3/7/2025,73.99,76.7,73.78,76.27,"18,610,386"
3/6/2025,75.32,77.22,74.73,74.96,"16,504,911"
3/5/2025,75.65,76.94,74.93,76.48,"13,122,294"
3/4/2025,72.93,76.68,71.6,75.26,"24,241,234"
3/3/2025,77.06,77.74,73.68,74.44,"16,999,495"
2/28/2025,74.28,76.11,73.58,76.01,"17,752,015"
2/27/2025,75.95,77.69,73.71,74.21,"22,535,938"
2/26/2025,75.33,76.49,75.31,75.87,"10,338,710"
2/25/2025,76.36,76.37,73.53,74.95,"19,559,249"
2/24/2025,78.65,78.88,74.85,76.42,"24,368,386"
2/21/2025,81.26,82.1,78.36,78.89,"21,774,329"
2/20/2025,81.23,81.84,80.06,81.26,"14,770,273"
2/19/2025,80.79,81.9,79.26,81.16,"14,973,426"
2/18/2025,79.85,81.51,79.75,81.49,"18,943,227"
2/14/2025,80.35,80.35,78.87,79.42,"15,405,688"
2/13/2025,79.12,80.53,78.51,80.29,"21,754,709"
2/12/2025,74.97,80.1,74.15,79.35,"33,142,366"
2/11/2025,78.91,79.2,76.6,76.95,"27,329,560"
2/10/2025,77.1,78.99,76.8,78.63,"42,551,673"
2/7/2025,70.36,76.78,70.13,74.6,"81,813,184"
2/6/2025,65.67,70.05,65.54,69.99,"45,940,242"
2/5/2025,66.5,66.75,63.5,64.48,"78,975,878"
2/4/2025,67.69,70.19,67.69,69.75,"33,786,239"
2/3/2025,65.3,68.85,65.18,67.29,"25,290,048"
1/31/2025,67.09,67.87,66.33,66.85,"19,805,625"
1/30/2025,63.42,67.22,63.42,66.59,"33,246,503"
1/29/2025,67.8,68.06,65.82,66.75,"29,592,594"
1/28/2025,68.33,69.68,67.16,68.07,"24,988,456"
1/27/2025,67.64,69.41,67.37,68.77,"20,904,644"
1/24/2025,68.69,69.31,68.4,68.56,"14,360,349"
1/23/2025,67.6,68.37,67.24,68.3,"15,355,443"
1/22/2025,68.39,68.43,67.5,67.82,"18,130,028"
1/21/2025,68,68.18,66.85,67.74,"21,423,617"
